full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version
Courtney Lee,72,#1,Dallas Mavericks,G-F,10/3/1985,6-5 / 1.96,200 lbs. / 90.7 kg.,"$12,759,670 ",USA,2008,1,22,Western Kentucky,NBA2k20
Thon Maker,72,#7,Detroit Pistons,F-C,2/25/1997,7-0 / 2.13,216 lbs. / 98 kg.,"$3,569,643 ",Australia,2016,1,10,,NBA2k20
Patrick McCaw,72,#22,Toronto Raptors,G,10/25/1995,6-7 / 2.01,181 lbs. / 82.1 kg.,"$4,000,000 ",USA,2016,2,38,UNLV,NBA2k20
Rodney McGruder,72,#19,Los Angeles Clippers,G,7/29/1991,6-4 / 1.93,205 lbs. / 93 kg.,"$4,807,693 ",USA,2013,Undrafted,Undrafted,Kansas State,NBA2k20
Darius Miller,72,#21,New Orleans Pelicans,F,3/21/1990,6-6 / 1.98,225 lbs. / 102.1 kg.,"$7,250,000 ",USA,2012,2,46,Kentucky,NBA2k20
Raul Neto,72,#19,Philadelphia 76ers,G,5/19/1992,6-1 / 1.85,170 lbs. / 77.1 kg.,"$1,737,145 ",Brazil,2013,2,47,,NBA2k20
Georges Niang,72,#31,Utah Jazz,F,6/17/1993,6-7 / 2.01,230 lbs. / 104.3 kg.,"$1,645,357 ",USA,2016,2,50,Iowa State,NBA2k20
Cameron Payne,72,#0,Phoenix Suns,G,8/8/1994,6-2 / 1.88,180 lbs. / 81.6 kg.,"$346,288 ",USA,2015,1,14,Murray State,NBA2k20
Anfernee Simons,72,#1,Portland Trail Blazers,G,6/8/1999,6-3 / 1.91,181 lbs. / 82.1 kg.,"$2,149,560 ",USA,2018,1,24,,NBA2k20
Zhaire Smith,72,#8,Philadelphia 76ers,G-F,6/4/1999,6-3 / 1.91,205 lbs. / 93 kg.,"$3,058,800 ",USA,2018,1,16,Texas Tech,NBA2k20
Anthony Tolliver,72,#0,Memphis Grizzlies,F,6/1/1985,6-8 / 2.03,240 lbs. / 108.9 kg.,"$2,854,556 ",USA,2007,Undrafted,Undrafted,Creighton,NBA2k20
DJ Wilson,72,#5,Milwaukee Bucks,F,2/19/1996,6-10 / 2.08,234 lbs. / 106.1 kg.,"$2,961,120 ",USA,2017,1,17,Michigan,NBA2k20
Alfonzo McKinnie,72,#0,Cleveland Cavaliers,F,9/17/1992,6-8 / 2.03,215 lbs. / 97.5 kg.,"$2,391,985 ",USA,2015,Undrafted,Undrafted,Green Bay,NBA2k20
Romeo Langford,72,#45,Boston Celtics,G,10/25/1999,6-4 / 1.93,216 lbs. / 98 kg.,"$3,458,400 ",USA,2019,1,14,Indiana,NBA2k20
Grant Williams,72,#12,Boston Celtics,F,11/30/1998,6-6 / 1.98,236 lbs. / 107 kg.,"$2,379,840 ",USA,2019,1,22,Tennessee,NBA2k20
Nicolas Claxton,72,#0,Brooklyn Nets,C,4/17/1990,6-11 / 2.11,215 lbs. / 97.5 kg.,"$898,310 ",USA,2019,2,31,Georgia,NBA2k20
PJ Washington,72,#25,Charlotte Hornets,F,8/23/1998,6-7 / 2.01,225 lbs. / 102.1 kg.,"$3,831,840 ",USA,2019,1,12,Kentucky,NBA2k20
Ryan Arcidiacono,72,#51,Chicago Bulls,G,3/26/1994,6-3 / 1.91,195 lbs. / 88.5 kg.,"$3,000,000 ",Italy,2016,Undrafted,Undrafted,Villanova,NBA2k20
Kevin Porter,72,#4,Cleveland Cavaliers,G-F,5/4/2000,6-4 / 1.93,218 lbs. / 98.9 kg.,"$1,290,960 ",USA,2019,1,30,USC,NBA2k20
Ryan Broekhoff,72,#0,Philadelphia 76ers,F,8/23/1990,6-6 / 1.98,215 lbs. / 97.5 kg.,"$2,833,704 ",Australia,2013,Undrafted,Undrafted,Valparaiso,NBA2k20
Goga Bitadze,72,#88,Indiana Pacers,C,7/20/1999,6-11 / 2.11,250 lbs. / 113.4 kg.,"$2,816,760 ",Georgia,2019,1,18,,NBA2k20
De'Anthony Melton,72,#0,Memphis Grizzlies,G,5/28/1998,6-2 / 1.88,190 lbs. / 86.2 kg.,"$1,416,852 ",USA,2018,2,46,USC,NBA2k20
Kenrich Williams,72,#34,New Orleans Pelicans,G-F,12/2/1994,6-6 / 1.98,210 lbs. / 95.3 kg.,"$1,416,852 ",USA,2018,Undrafted,Undrafted,TCU,NBA2k20
Nickeil Alexander-Walker,72,#0,New Orleans Pelicans,G,9/2/1998,6-5 / 1.96,205 lbs. / 93 kg.,"$2,964,840 ",Canada,2019,1,17,Virginia Tech,NBA2k20
Chuma Okeke,72,#3,,F-C,8/18/1998,6-8 / 2.03,230 lbs. / 104 kg.,"$2,773,550 ",USA,2019,1,16,Auburn,NBA2k20
Matisse Thybulle,72,#22,Philadelphia 76ers,G-F,3/4/1997,6-5 / 1.96,201 lbs. / 91.2 kg.,"$2,582,160 ",USA,2019,1,20,Washington,NBA2k20
Cameron Johnson,72,#23,Phoenix Suns,F,3/3/1996,6-8 / 2.03,210 lbs. / 95.3 kg.,"$4,033,440 ",USA,2019,1,11,North Carolina,NBA2k20
Ty Jerome,72,#10,Phoenix Suns,G,7/8/1997,6-5 / 1.96,195 lbs. / 88.5 kg.,"$2,193,480 ",USA,2019,1,24,Virginia,NBA2k20
Luka Samanic,72,#19,San Antonio Spurs,F,1/9/2000,6-10 / 2.08,209 lbs. / 94.8 kg.,"$2,689,920 ",Croatia,2019,1,19,,NBA2k20
Keldon Johnson,72,#3,San Antonio Spurs,F,10/11/1999,6-5 / 1.96,211 lbs. / 95.7 kg.,"$1,950,600 ",USA,2019,1,29,Kentucky,NBA2k20
Matt Thomas,72,#21,Toronto Raptors,G,8/4/1994,6-4 / 1.93,197 lbs. / 89.4 kg.,"$898,310 ",USA,2017,Undrafted,Undrafted,Iowa State,NBA2k20
Chris Boucher,71,#25,Toronto Raptors,F-C,1/11/1993,6-9 / 2.06,200 lbs. / 90.7 kg.,"$1,588,231 ",Canada,2017,Undrafted,Undrafted,Oregon,NBA2k20
Jevon Carter,71,#4,Phoenix Suns,G,9/14/1995,6-1 / 1.85,200 lbs. / 90.7 kg.,"$1,416,852 ",USA,2018,2,32,West Virginia,NBA2k20
Deyonta Davis,71,#0,,F-C,12/2/1996,6-10 / 2.08,240 lbs. / 108.9 kg.,"$250,000 ",USA,2016,2,31,Michigan State,NBA2k20
Jacob Evans,71,#0,Minnesota Timberwolves,G,6/18/1997,6-4 / 1.93,210 lbs. / 95.3 kg.,"$1,925,880 ",USA,2018,1,28,Cincinnati,NBA2k20
Terrance Ferguson,71,#23,Oklahoma City Thunder,G,5/17/1998,6-6 / 1.98,184 lbs. / 83.5 kg.,"$2,475,840 ",USA,2017,1,21,,NBA2k20
Daniel Gafford,71,#12,Chicago Bulls,F,10/1/1998,6-10 / 2.08,234 lbs. / 106.1 kg.,"$898,310 ",USA,2019,2,38,Arkansas,NBA2k20
Treveon Graham,71,#12,Atlanta Hawks,G,10/28/1993,6-5 / 1.96,219 lbs. / 99.3 kg.,"$1,645,357 ",USA,2015,Undrafted,Undrafted,VCU,NBA2k20
Frank Jackson,71,#15,New Orleans Pelicans,G,5/4/1998,6-3 / 1.91,205 lbs. / 93 kg.,"$1,618,520 ",USA,2017,2,31,Duke,NBA2k20
Luke Kornet,71,#2,Chicago Bulls,C,7/15/1995,7-2 / 2.18,240 lbs. / 108.9 kg.,"$2,250,000 ",USA,2017,Undrafted,Undrafted,Vanderbilt,NBA2k20
Frank Mason,71,#15,Milwaukee Bucks,G,4/13/1994,5-11 / 1.80,190 lbs. / 86.2 kg.,"$79,568 ",USA,2017,2,34,Kansas,NBA2k20
Ben McLemore,71,#16,Houston Rockets,G,2/11/1993,6-3 / 1.91,189 lbs. / 85.7 kg.,"$2,028,594 ",USA,2013,1,7,Kansas,NBA2k20
Dzanan Musa,71,#13,Brooklyn Nets,F,5/8/1999,6-9 / 2.06,195 lbs. / 88.5 kg.,"$1,911,600 ",Bosnia and Herzegovina,2018,1,29,,NBA2k20
Elie Okobo,71,#2,Phoenix Suns,G,10/23/1997,6-3 / 1.91,190 lbs. / 86.2 kg.,"$1,416,852 ",France,2018,2,31,,NBA2k20
Jerome Robinson,71,#1,Washington Wizards,G,2/22/1997,6-4 / 1.93,190 lbs. / 86.2 kg.,"$3,567,720 ",USA,2018,1,13,Boston College,NBA2k20
JaKarr Sampson,71,#14,Indiana Pacers,F,3/20/1993,6-7 / 2.01,223 lbs. / 101.2 kg.,"$1,737,145 ",USA,2014,Undrafted,Undrafted,St. John's,NBA2k20
Edmond Sumner,71,#5,Indiana Pacers,G,12/13/1995,6-4 / 1.93,186 lbs. / 84.4 kg.,"$2,000,000 ",USA,2017,2,52,Xavier,NBA2k20
Gary Trent Jr,71,#2,Portland Trail Blazers,G,1/18/1999,6-5 / 1.96,209 lbs. / 94.8 kg.,"$1,416,852 ",USA,2018,2,37,Duke,NBA2k20
Moritz Wagner,71,#21,Washington Wizards,F,4/26/1997,6-11 / 2.11,240 lbs. / 108.9 kg.,"$2,063,520 ",Germany,2018,1,25,Michigan,NBA2k20
Admiral Schofield,71,#1,Washington Wizards,F,3/30/1997,6-5 / 1.96,241 lbs. / 109.3 kg.,"$1,000,000 ",USA,2019,2,42,Tennessee,NBA2k20
Bruno Fernando,71,#24,Atlanta Hawks,F,8/15/1998,6-9 / 2.06,245 lbs. / 111.1 kg.,"$1,400,000 ",Angola,2019,2,34,Maryland,NBA2k20
Alen Smailagic,71,#6,Golden State Warriors,F,8/18/2000,6-10 / 2.08,215 lbs. / 97.5 kg.,"$898,310 ",Serbia,2019,2,39,,NBA2k20
Eric Paschall,71,#7,Golden State Warriors,F,11/4/1996,6-6 / 1.98,255 lbs. / 115.7 kg.,"$898,310 ",USA,2019,2,41,Villanova,NBA2k20
Carsen Edwards,71,#4,Boston Celtics,G,3/12/1998,5-11 / 1.80,200 lbs. / 90.7 kg.,"$1,228,026 ",USA,2019,2,33,Purdue,NBA2k20
KZ Okpala,71,#4,Miami Heat,F,4/28/1999,6-8 / 2.03,215 lbs. / 97.5 kg.,"$898,310 ",USA,2019,2,32,Stanford,NBA2k20
Shake Milton,71,#18,Philadelphia 76ers,C,9/26/1996,6-5 / 1.96,205 lbs. / 93 kg.,"$1,445,697 ",USA,2018,2,54,SMU,NBA2k20
Chimezie Metu,71,#7,San Antonio Spurs,F,3/22/1997,6-9 / 2.06,225 lbs. / 102.1 kg.,"$1,416,852 ",Nigeria,2018,2,49,USC,NBA2k20
Keita Bates-Diop,70,#0,Denver Nuggets,F,1/23/1996,6-8 / 2.03,235 lbs. / 106.6 kg.,"$1,416,852 ",USA,2018,2,48,Ohio State,NBA2k20
Darius Bazley,70,#7,Oklahoma City Thunder,F,6/12/2000,6-8 / 2.03,200 lbs. / 90.7 kg.,"$2,284,800 ",USA,2019,1,23,,NBA2k20
Tony Bradley,70,#13,Utah Jazz,F-C,1/8/1998,6-10 / 2.08,248 lbs. / 112.5 kg.,"$1,962,360 ",USA,2017,1,28,North Carolina,NBA2k20
Hamidou Diallo,70,#6,Oklahoma City Thunder,G,7/31/1998,6-5 / 1.96,198 lbs. / 89.8 kg.,"$1,416,852 ",USA,2018,2,45,Kentucky,NBA2k20
Melvin Frazier,70,#35,Orlando Magic,F,8/30/1996,6-5 / 1.96,201 lbs. / 91.2 kg.,"$1,416,852 ",USA,2018,2,35,Tulane,NBA2k20
Solomon Hill,70,#44,Miami Heat,F,3/18/1991,6-6 / 1.98,226 lbs. / 102.5 kg.,"$13,290,395 ",USA,2013,1,23,Arizona,NBA2k20
Alize Johnson,70,#24,Indiana Pacers,F,4/26/1996,6-7 / 2.01,201 lbs. / 91.2 kg.,"$1,416,852 ",USA,2018,2,50,Missouri State,NBA2k20
Skal Labissiere,70,#0,Atlanta Hawks,C-F,3/18/1996,6-10 / 2.08,216 lbs. / 98 kg.,"$2,338,846 ",Haiti,2016,1,28,Kentucky,NBA2k20
Tyler Lydon,70,#0,,F-C,4/9/1996,6-9 / 2.06,220 lbs. / 99.8 kg.,"$50,000 ",USA,2017,1,24,Syracuse,NBA2k20
Sviatoslav Mykhailiuk,70,#19,Detroit Pistons,G,6/10/1997,6-7 / 2.01,205 lbs. / 93 kg.,"$1,416,852 ",Ukraine,2018,2,47,Kansas,NBA2k20
Johnathan Motley,70,#15,Los Angeles Clippers,F,5/4/1995,6-8 / 2.03,230 lbs. / 104.3 kg.,"$79,568 ",USA,2017,Undrafted,Undrafted,Baylor,NBA2k20
Abdel Nader,70,#11,Oklahoma City Thunder,F,9/25/1993,6-5 / 1.96,225 lbs. / 102.1 kg.,"$1,618,520 ",Egypt,2016,2,58,Iowa State,NBA2k20
Miles Plumlee,70,#0,,F-C,9/1/1988,6-11 / 2.11,255 lbs. / 115.7 kg.,"$12,500,000 ",USA,2012,1,26,Duke,NBA2k20
Caleb Swanigan,70,#50,Portland Trail Blazers,C,4/18/1997,6-9 / 2.06,249 lbs. / 112.9 kg.,"$2,033,160 ",USA,2017,1,26,Purdue,NBA2k20
Jarred Vanderbilt,70,#0,Minnesota Timberwolves,F,4/3/1999,6-9 / 2.06,214 lbs. / 97.1 kg.,"$1,416,852 ",USA,2018,2,41,Kentucky,NBA2k20
Jemerrio Jones,70,#0,,F,4/9/1995,6-5 / 1.96,201 lbs. / 91.2 kg.,"$195,077 ",USA,2018,Undrafted,Undrafted,New Mexico State,NBA2k20
Jordan Poole,70,#3,Golden State Warriors,G,6/19/1999,6-4 / 1.93,194 lbs. / 88 kg.,"$1,964,760 ",USA,2019,1,28,Michigan,NBA2k20
Talen Horton-Tucker,70,#5,Los Angeles Lakers,G,11/20/2000,6-4 / 1.93,234 lbs. / 106.1 kg.,"$898,310 ",USA,2019,2,46,Iowa State,NBA2k20
Yante Maten,70,#0,,F-C,8/14/1996,6-8 / 2.03,240 lbs. / 108.9 kg.,"$100,000 ",USA,2018,Undrafted,Undrafted,Georgia,NBA2k20
Thanasis Antetokounmpo,70,#43,Milwaukee Bucks,F,7/18/1992,6-6 / 1.98,215 lbs. / 97.5 kg.,"$1,445,697 ",Greece,2014,2,51,,NBA2k20
Naz Reid,70,#11,Minnesota Timberwolves,C,8/26/1999,6-9 / 2.06,249 lbs. / 112.9 kg.,"$898,310 ",USA,2019,Undrafted,Undrafted,LSU,NBA2k20
Ignas Brazdeikis,70,#17,New York Knicks,F,1/8/1999,6-6 / 1.98,216 lbs. / 98 kg.,"$898,310 ",Canada,2019,2,47,Michigan,NBA2k20
Deonte Burton,70,#30,Oklahoma City Thunder,G,6/26/1991,6-4 / 1.93,240 lbs. / 108.9 kg.,"$1,416,852 ",USA,2014,Undrafted,Undrafted,Iowa State,NBA2k20
Justin James,70,#10,Sacramento Kings,G,1/24/1997,6-7 / 2.01,190 lbs. / 86.2 kg.,"$898,310 ",USA,2019,2,40,Wyoming,NBA2k20
Henry Ellenson,69,#0,,F-C,1/13/1997,6-10 / 2.08,242 lbs. / 109.8 kg.,"$79,568 ",USA,2016,1,18,Marquette,NBA2k20
Devonte Graham,69,#0,Charlotte Hornets,G,2/22/1995,6-1 / 1.85,185 lbs. / 83.9 kg.,"$1,416,852 ",USA,2018,2,34,Kansas,NBA2k20
Amile Jefferson,69,#0,,F-C,5/7/1993,6-9 / 2.06,224 lbs. / 101.6 kg.,"$1,529,007 ",USA,2017,Undrafted,Undrafted,Duke,NBA2k20
Khyri Thomas,69,#13,Detroit Pistons,G,5/8/1996,6-3 / 1.91,210 lbs. / 95.3 kg.,"$1,416,852 ",USA,2018,2,38,Creighton,NBA2k20
Theo Pinson,69,#0,New York Knicks,G,11/5/1995,6-5 / 1.96,220 lbs. / 99.8 kg.,"$1,445,697 ",USA,2018,Undrafted,Undrafted,North Carolina,NBA2k20
Gary Clark,69,#0,Orlando Magic,F,11/16/1994,6-6 / 1.98,225 lbs. / 102.1 kg.,"$1,427,191 ",USA,2018,Undrafted,Undrafted,Cincinnati,NBA2k20
Terance Mann,69,#14,Los Angeles Clippers,G,10/18/1996,6-5 / 1.96,215 lbs. / 97.5 kg.,"$1,000,000 ",USA,2019,2,48,Florida State,NBA2k20
Cam Reynolds,69,#13,Milwaukee Bucks,G,2/7/1995,6-7 / 2.01,225 lbs. / 102.1 kg.,"$79,568 ",USA,2018,Undrafted,Undrafted,Tulane,NBA2k20
Tyrone Wallace,69,#0,,G-F,6/10/1994,6-5 / 1.96,200 lbs. / 90.7 kg.,"$502,491 ",USA,2016,2,60,California,NBA2k20
Miye Oni,69,#24,Utah Jazz,F,8/4/1997,6-5 / 1.96,210 lbs. / 95.3 kg.,"$898,310 ",USA,2019,2,58,Yale,NBA2k20
Malcolm Miller,69,#13,Toronto Raptors,F,3/6/1993,6-7 / 2.01,205 lbs. / 93 kg.,"$1,588,231 ",USA,2015,Undrafted,Undrafted,Holy Cross,NBA2k20
Isaac Bonga,68,#17,Washington Wizards,G,11/8/1999,6-8 / 2.03,200 lbs. / 90.7 kg.,"$1,416,852 ",Germany,2018,2,39,,NBA2k20
Isaiah Hartenstein,68,#0,,F-C,5/5/1998,7-0 / 2.13,250 lbs. / 113.4 kg.,"$1,416,852 ",Germany,2017,2,43,,NBA2k20
Jordan McRae,68,#0,Detroit Pistons,G,3/28/1991,6-5 / 1.96,179 lbs. / 81.2 kg.,"$1,254,933 ",USA,2014,2,58,Tennessee,NBA2k20
Brandon Goodwin,68,#0,Atlanta Hawks,G,10/2/1995,6-0 / 1.83,180 lbs. / 81.6 kg.,"$522,738 ",USA,2018,Undrafted,Undrafted,Florida Gulf Coast,NBA2k20
Michael Frazier,68,#21,Houston Rockets,G,3/8/1994,6-3 / 1.91,200 lbs. / 90.7 kg.,"$79,568 ",USA,2015,2,60,Florida,NBA2k20
Kostas Antetokounmpo,68,#37,Los Angeles Lakers,F,11/20/1997,6-10 / 2.08,200 lbs. / 90.7 kg.,"$79,568 ",Greece,2018,Undrafted,Undrafted,Dayton,NBA2k20
Jalen Lecque,68,#0,Phoenix Suns,G,6/13/2000,6-3 / 1.91,190 lbs. / 86.2 kg.,"$898,310 ",USA,2019,Undrafted,Undrafted,,NBA2k20
Duncan Robinson,67,#55,Miami Heat,F,4/22/1994,6-7 / 2.01,215 lbs. / 97.5 kg.,"$1,416,852 ",USA,2018,Undrafted,Undrafted,Michigan,NBA2k20
LeBron James,97,#6,Los Angeles Lakers,F,12/30/1984,6-9 / 2.06,250 lbs. / 113.4 kg.,"$41,180,544 ",USA,2003,1,1,,NBA2k21
Giannis Antetokounmpo,97,#34,Milwaukee Bucks,F-G,12/6/1994,6-11 / 2.11,242 lbs. / 109.8 kg.,"$39,344,900 ",Greece,2013,1,15,,NBA2k21
Kawhi Leonard,96,#2,Los Angeles Clippers,F,6/29/1991,6-7 / 2.01,225 lbs. / 102.1 kg.,"$39,344,900 ",USA,2011,1,15,San Diego State,NBA2k21
James Harden,96,#13,Brooklyn Nets,G,8/26/1989,6-5 / 1.96,220 lbs. / 99.8 kg.,"$44,310,840 ",USA,2009,1,3,Arizona State,NBA2k21
Stephen Curry,95,#30,Golden State Warriors,G,3/14/1988,6-3 / 1.91,185 lbs. / 83.9 kg.,"$45,780,966 ",USA,2009,1,7,Davidson,NBA2k21
Kevin Durant,95,#7,Brooklyn Nets,F,9/29/1988,6-10 / 2.08,230 lbs. / 104.3 kg.,"$40,918,900 ",USA,2007,1,2,Texas,NBA2k21
Anthony Davis,95,#3,Los Angeles Lakers,F-C,3/11/1993,6-10 / 2.08,222 lbs. / 100.7 kg.,"$35,361,360 ",USA,2012,1,1,Kentucky,NBA2k21
Luka Doncic,94,#77,Dallas Mavericks,G-F,2/28/1999,6-7 / 2.01,227 lbs. / 103 kg.,"$10,174,391 ",Slovenia,2018,1,3,,NBA2k21
Damian Lillard,94,#0,Portland Trail Blazers,G,7/15/1990,6-2 / 1.88,195 lbs. / 88.5 kg.,"$39,344,900 ",USA,2012,1,6,Weber State,NBA2k21
Joel Embiid,91,#21,Philadelphia 76ers,C,3/16/1994,7-0 / 2.13,250 lbs. / 113.4 kg.,"$31,579,390 ",Cameroon,2014,1,3,Kansas,NBA2k21
