full_name,rating,draft_year,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age
Aaron Gordon,81,2014,2.850071429,9,28
Aaron Holiday,73,2018,2.850071429,5,27
Abdel Nader,70,2016,2.850071429,7,30
Admiral Schofield,71,2019,2.850071429,4,26
Al Horford,85,2007,0.253,16,37
Alec Burks,73,2011,2.850071429,12,32
Alen Smailagic,71,2019,2.850071429,4,23
Alex Caruso,73,2016,2.850071429,7,29
Alex Len,77,2013,2.850071429,10,30
Al-Farouq Aminu,77,2010,2.850071429,13,33
Alfonzo McKinnie,72,2015,2.850071429,8,31
Alize Johnson,70,2018,2.850071429,5,27
Allen Crabbe,73,2013,2.850071429,10,31
Allonzo Trier,75,2018,2.850071429,5,27
Amile Jefferson,69,2017,2.850071429,6,30
Andre Drummond,86,2012,1.22,11,30
Andre Iguodala,78,2004,2.850071429,19,39
Andre Roberson,76,2013,2.850071429,10,32
Andrew Wiggins,79,2014,2.850071429,9,28
Anfernee Simons,72,2018,2.850071429,5,24
Ante Zizic,73,2016,2.850071429,7,26
Anthony Davis,94,2012,1.22,11,30
Anthony Davis,95,2012,1.22,11,30
Anthony Tolliver,72,2007,2.850071429,16,38
Antonio Blakeney,72,2017,2.850071429,6,27
Aron Baynes,75,2009,2.850071429,14,37
Austin Rivers,76,2012,2.850071429,11,31
Avery Bradley,76,2010,2.850071429,13,33
Bam Adebayo,79,2017,2.850071429,6,26
Ben McLemore,71,2013,2.850071429,10,30
Ben Simmons,87,2016,2.850071429,7,27
Bismack Biyombo,75,2011,2.850071429,12,31
Blake Griffin,88,2009,4.19,14,34
Boban Marjanovic,75,2010,0,13,35
Bobby Portis,78,2015,2.850071429,8,28
Bogdan Bogdanovic,78,2014,2.850071429,9,31
Bojan Bogdanovic,83,2011,2.850071429,12,34
Brad Wanamaker,73,2011,2.850071429,12,34
Bradley Beal,87,2012,0.276,11,30
Bradley Beal,88,2012,0.276,11,30
Brandon Clarke,73,2019,2.850071429,4,27
Brandon Goodwin,68,2018,2.850071429,5,28
Brandon Ingram,81,2016,2.850071429,7,26
Brandon Knight,72,2011,2.850071429,12,32
Brook Lopez,79,2008,0,15,35
Bruce Brown,73,2018,2.850071429,5,27
Bruno Fernando,71,2019,2.850071429,4,25
Bryn Forbes,75,2016,2.850071429,7,30
Buddy Hield,84,2016,2.850071429,7,30
Caleb Swanigan,70,2017,2.850071429,6,26
Cam Reynolds,69,2018,2.850071429,5,28
Cameron Johnson,72,2019,2.850071429,4,27
Cameron Payne,72,2015,2.850071429,8,29
Caris LeVert,78,2016,2.850071429,7,29
Carsen Edwards,71,2019,2.850071429,4,25
Cedi Osman,75,2015,2.850071429,8,28
Chandler Hutchison,72,2018,2.850071429,5,27
Chandler Parsons,74,2011,2.850071429,12,35
Cheick Diallo,74,2016,0.015,7,27
Chimezie Metu,71,2018,2.850071429,5,26
Chris Boucher,71,2017,2.850071429,6,30
Chris Paul,85,2005,6.4,18,38
Chris Paul,88,2005,6.4,18,38
Christian Wood,74,2015,2.850071429,8,28
Chuma Okeke,72,2019,2.850071429,4,25
CJ McCollum,87,2013,0.161,10,32
CJ Miles,73,2005,2.850071429,18,36
Clint Capela,85,2014,0.025,9,29
Coby White,76,2019,2.850071429,4,23
Cody Zeller,77,2013,2.850071429,10,31
Collin Sexton,77,2018,2.850071429,5,24
Cory Joseph,74,2011,2.850071429,12,32
Courtney Lee,72,2008,2.850071429,15,38
Cristiano Felicio,72,2014,2.850071429,9,31
Damian Lillard,92,2012,1.34,11,33
Damian Lillard,94,2012,1.34,11,33
Damian Lillard,94,2012,1.34,11,33
Damyean Dotson,75,2017,2.850071429,6,29
D'Angelo Russell,87,2015,2.850071429,8,27
Daniel Gafford,71,2019,2.850071429,4,25
Daniel Theis,76,2013,2.850071429,10,31
Danilo Gallinari,83,2008,0.711,15,35
Danny Green,77,2009,2.850071429,14,36
Danuel House,73,2016,2.850071429,7,30
Dario Saric,77,2014,2.850071429,9,29
Darius Bazley,70,2019,2.850071429,4,23
Darius Garland,77,2019,2.850071429,4,23
Darius Miller,72,2012,2.850071429,11,33
David Nwaba,73,2016,2.850071429,7,30
Davis Bertans,76,2011,2.850071429,12,31
De'Aaron Fox,86,2017,2.850071429,6,26
Deandre Ayton,82,2018,2.850071429,5,25
DeAndre Bembry,73,2016,2.850071429,7,29
De'Andre Hunter,77,2019,2.850071429,4,26
DeAndre Jordan,81,2008,0.984,15,35
De'Anthony Melton,72,2018,2.850071429,5,25
Dejounte Murray,78,2016,2.850071429,7,27
Delon Wright,76,2015,2.850071429,8,31
DeMar DeRozan,87,2009,0.58,14,34
DeMarcus Cousins,86,2010,0.826,13,33
DeMarre Carroll,77,2009,2.850071429,14,37
Dennis Schroeder,78,2013,2.850071429,10,30
Dennis Smith,77,2017,2.850071429,6,26
Denzel Valentine,74,2016,2.850071429,7,30
Deonte Burton,70,2014,2.850071429,9,32
Derrick Favors,80,2010,2.850071429,13,32
Derrick Jones,74,2016,2.850071429,7,26
Derrick Rose,80,2008,2.850071429,15,35
Derrick White,78,2017,2.850071429,6,29
Devin Booker,86,2015,2.850071429,8,27
Devonte Graham,69,2018,2.850071429,5,28
Dewayne Dedmon,76,2013,0.015,10,34
Deyonta Davis,71,2016,2.850071429,7,27
Dillon Brooks,74,2017,2.850071429,6,27
Dion Waiters,76,2012,2.850071429,11,32
DJ Augustin,76,2008,2.850071429,15,36
DJ Wilson,72,2017,2.850071429,6,27
Domantas Sabonis,81,2016,2.850071429,7,27
Donovan Mitchell,88,2017,2.850071429,6,27
Donovan Mitchell,88,2017,2.850071429,6,27
Donte DiVincenzo,72,2018,2.850071429,5,26
Dorian Finney-Smith,73,2016,2.850071429,7,30
Doug McDermott,74,2014,2.850071429,9,31
Draymond Green,86,2012,0.911,11,33
Duncan Robinson,67,2018,2.850071429,5,29
Dwayne Bacon,73,2017,2.850071429,6,28
Dwight Powell,77,2014,2.850071429,9,32
Dzanan Musa,71,2018,2.850071429,5,24
Ed Davis,77,2010,2.850071429,13,34
Edmond Sumner,71,2017,2.850071429,6,28
Elfrid Payton,76,2014,0.05,9,29
Elie Okobo,71,2018,2.850071429,5,26
Emmanuel Mudiay,76,2015,2.850071429,8,27
Enes Kanter,80,2011,0.489,12,31
Eric Bledsoe,85,2010,0.199,13,34
Eric Gordon,78,2008,2.850071429,15,35
Eric Paschall,71,2019,2.850071429,4,27
Ersan Ilyasova,76,2005,2.850071429,18,36
E'Twaun Moore,74,2011,2.850071429,12,34
Evan Fournier,78,2012,2.850071429,11,31
Evan Turner,73,2010,2.850071429,13,35
Frank Jackson,71,2017,2.850071429,6,25
Frank Kaminsky,76,2015,2.850071429,8,30
Frank Mason,71,2017,2.850071429,6,29
Frank Ntilikina,73,2017,2.850071429,6,25
Fred VanVleet,79,2006,2.850071429,17,29
Furkan Korkmaz,73,2016,2.850071429,7,26
Garrett Temple,73,2009,2.850071429,14,37
Gary Clark,69,2018,2.850071429,5,29
Gary Harris,79,2014,2.850071429,9,29
Gary Trent Jr,71,2018,2.850071429,5,24
George Hill,75,2008,0.244,15,37
Georges Niang,72,2016,2.850071429,7,30
Gerald Green,76,2005,2.850071429,18,37
Giannis Antetokounmpo,96,2013,0.246,10,29
Giannis Antetokounmpo,97,2013,0.246,10,29
Giannis Antetokounmpo,96,2013,0.246,10,29
Glenn Robinson III,74,2014,2.850071429,9,29
Goga Bitadze,72,2019,2.850071429,4,24
Goran Dragic,79,2008,0.226,15,37
Gordon Hayward,80,2010,0.252,13,33
Gorgui Dieng,76,2013,2.850071429,10,33
Grant Williams,72,2019,2.850071429,4,25
Grayson Allen,72,2018,2.850071429,5,28
Hamidou Diallo,70,2018,2.850071429,5,25
Harrison Barnes,79,2012,0.597,11,31
Harry Giles,74,2017,2.850071429,6,25
Hassan Whiteside,81,2010,0.164,13,34
Henry Ellenson,69,2016,2.850071429,7,26
Ian Mahinmi,73,2005,2.850071429,18,37
Ignas Brazdeikis,70,2019,2.850071429,4,24
Isaac Bonga,68,2018,2.850071429,5,24
Isaiah Hartenstein,68,2017,2.850071429,6,25
Isaiah Thomas,76,2011,0.639,12,34
Ishmael Smith,73,2010,2.850071429,13,35
Ivan Rabb,74,2017,2.850071429,6,26
Ivica Zubac,77,2016,2.850071429,7,26
Ja Morant,79,2019,2.850071429,4,24
Jabari Parker,78,2014,0.281,9,28
Jacob Evans,71,2018,2.850071429,5,26
Jae Crowder,76,2012,2.850071429,11,33
Jahlil Okafor,76,2015,2.850071429,8,28
JaKarr Sampson,71,2014,2.850071429,9,30
Jake Layman,75,2016,2.850071429,7,29
Jakob Poeltl,77,2016,2.850071429,7,28
Jalen Brunson,76,2018,2.850071429,5,27
Jalen Lecque,68,2019,2.850071429,4,23
Jamal Murray,84,2016,2.850071429,7,26
James Ennis,73,2013,2.850071429,10,33
James Harden,96,2009,4.47,14,34
James Harden,96,2009,4.47,14,34
James Harden,94,2009,4.47,14,34
James Johnson,75,2009,0,14,36
JaMychal Green,78,2012,2.850071429,11,33
Jared Dudley,72,2007,2.850071429,16,38
Jaren Jackson,82,2018,2.850071429,5,24
Jarred Vanderbilt,70,2018,2.850071429,5,24
Jarrett Allen,79,2017,2.850071429,6,25
Jarrett Culver,77,2019,2.850071429,4,24
JaVale McGee,79,2008,0.193,15,35
Jaxson Hayes,74,2019,2.850071429,4,23
Jaylen Brown,79,2016,2.850071429,7,27
Jayson Tatum,85,2017,2.850071429,6,25
Jeff Green,76,2007,2.850071429,16,37
Jeff Teague,78,2009,0.083,14,35
Jemerrio Jones,70,2018,2.850071429,5,28
Jerami Grant,77,2014,2.850071429,9,29
Jeremy Lamb,79,2012,0.055,11,31
Jerome Robinson,71,2018,2.850071429,5,26
Jevon Carter,71,2018,2.850071429,5,28
Jimmy Butler,88,2011,0.469,12,34
Jimmy Butler,89,2011,0.469,12,34
JJ Redick,80,2006,2.850071429,17,39
Joakim Noah,74,2007,2.850071429,16,38
Joe Harris,78,2014,2.850071429,9,32
Joe Ingles,79,2009,2.850071429,14,36
Joel Embiid,91,2014,0.793,9,29
Joel Embiid,91,2014,0.793,9,29
Joel Embiid,95,2014,0.793,9,29
John Collins,84,2017,2.850071429,6,26
John Henson,75,2012,2.850071429,11,33
John Wall,86,2010,1.81,13,33
Johnathan Motley,70,2017,2.850071429,6,28
Jonah Bolden,73,2017,2.850071429,6,27
Jonas Valanciunas,81,2011,0.162,12,31
Jonathan Isaac,76,2017,2.850071429,6,26
Jonathon Simmons,73,2012,2.850071429,11,34
Jordan Bell,74,2017,2.850071429,6,28
Jordan Clarkson,78,2014,2.850071429,9,31
Jordan McRae,68,2014,2.850071429,9,32
Jordan Poole,70,2019,2.850071429,4,24
Jose Juan Barea,76,2006,2.850071429,17,39
Josh Hart,75,2017,2.850071429,6,28
Josh Jackson,76,2017,2.850071429,6,26
Josh Okogie,73,2018,2.850071429,5,25
Josh Richardson,80,2015,2.850071429,8,30
Jrue Holiday,86,2009,0.129,14,33
Juan Hernangomez,74,2016,2.850071429,7,28
Julius Randle,83,2014,0.358,9,29
Justin Holiday,72,2011,2.850071429,12,34
Justin Jackson,74,2017,2.850071429,6,28
Justin James,70,2019,2.850071429,4,26
Justise Winslow,78,2015,2.850071429,8,27
Jusuf Nurkic,83,2014,0.031,9,29
Karl-Anthony Towns,89,2015,0.281,8,28
Karl-Anthony Towns,90,2015,0.281,8,28
Kawhi Leonard,97,2011,0.166,12,32
Kawhi Leonard,96,2011,0.166,12,32
Kawhi Leonard,95,2011,0.166,12,32
Keita Bates-Diop,70,2018,2.850071429,5,27
Keldon Johnson,72,2019,2.850071429,4,24
Kelly Olynyk,78,2013,2.850071429,10,32
Kelly Oubre,78,2015,2.850071429,8,28
Kemba Walker,88,2011,0.336,12,33
Kenrich Williams,72,2018,2.850071429,5,29
Kent Bazemore,75,2012,2.850071429,11,34
Kentavious Caldwell-Pope,76,2013,2.850071429,10,30
Kevin Durant,96,2007,16.2,16,35
Kevin Durant,95,2007,16.2,16,35
Kevin Durant,96,2007,16.2,16,35
Kevin Huerter,76,2018,2.850071429,5,25
Kevin Knox,76,2018,2.850071429,5,24
Kevin Love,83,2008,2.55,15,35
Kevin Porter,72,2019,2.850071429,4,23
Kevon Looney,77,2015,2.850071429,8,27
Khem Birch,74,2014,2.850071429,9,31
Khris Middleton,85,2012,2.850071429,11,32
Khyri Thomas,69,2018,2.850071429,5,27
Klay Thompson,89,2011,2.850071429,12,33
Klay Thompson,89,2011,2.850071429,12,33
Kostas Antetokounmpo,68,2018,2.850071429,5,26
Kris Dunn,75,2016,2.850071429,7,29
Kristaps Porzingis,87,2015,2.850071429,8,28
Kristaps Porzingis,87,2015,2.850071429,8,28
Kyle Anderson,74,2014,2.850071429,9,30
Kyle Korver,75,2003,2.850071429,20,42
Kyle Kuzma,84,2017,2.850071429,6,28
Kyle Lowry,85,2006,0.589,17,37
Kyle Lowry,87,2006,0.589,17,37
Kyle O'Quinn,74,2012,0.024,11,33
Kyrie Irving,91,2011,3.48,12,31
Kyrie Irving,90,2011,3.48,12,31
KZ Okpala,71,2019,2.850071429,4,24
LaMarcus Aldridge,87,2006,0.669,17,38
Landry Shamet,76,2018,2.850071429,5,26
Langston Galloway,72,2014,2.850071429,9,32
Larry Nance Jr,78,2015,2.850071429,8,30
Lauri Markkanen,83,2017,2.850071429,6,26
LeBron James,97,2003,37,20,39
LeBron James,97,2003,37,20,39
LeBron James,96,2003,37,20,39
Lonnie Walker,73,2018,2.850071429,5,25
Lonzo Ball,79,2017,2.850071429,6,26
Louis Williams,84,2005,2.850071429,18,37
Luka Doncic,87,2018,2.850071429,5,24
Luka Doncic,94,2018,2.850071429,5,24
Luka Doncic,94,2018,2.850071429,5,24
Luka Samanic,72,2019,2.850071429,4,23
Luke Kennard,75,2017,2.850071429,6,27
Luke Kornet,71,2017,2.850071429,6,28
Malcolm Brogdon,83,2016,2.850071429,7,31
Malcolm Miller,69,2015,2.850071429,8,30
Malik Beasley,77,2016,2.850071429,7,27
Malik Monk,75,2017,2.850071429,6,25
Marc Gasol,82,2007,1.1,16,38
Marco Belinelli,75,2007,2.850071429,16,37
Marcus Morris,78,2011,2.850071429,12,34
Marcus Smart,82,2014,2.850071429,9,29
Mario Hezonja,75,2015,2.850071429,8,28
Markelle Fultz,74,2017,2.850071429,6,25
Markieff Morris,75,2011,2.850071429,12,34
Marvin Bagley,83,2018,2.850071429,5,24
Marvin Williams,76,2005,2.850071429,18,37
Mason Plumlee,77,2013,2.850071429,10,33
Matisse Thybulle,72,2019,2.850071429,4,26
Matt Thomas,72,2017,2.850071429,6,29
Matthew Dellavedova,73,2013,2.850071429,10,33
Maxi Kleber,74,2014,2.850071429,9,31
Melvin Frazier,70,2018,2.850071429,5,27
Meyers Leonard,76,2012,2.850071429,11,31
Michael Beasley,76,2008,0.064,15,34
Michael Carter-Williams,72,2013,2.850071429,10,32
Michael Frazier,68,2015,2.850071429,8,29
Michael Kidd-Gilchrist,76,2012,2.850071429,11,30
Michael Porter,76,2018,2.850071429,5,25
Mikal Bridges,75,2018,2.850071429,5,27
Mike Conley,87,2007,0.342,16,36
Mike Muscala,73,2013,2.850071429,10,32
Mike Scott,75,2012,2.850071429,11,35
Miles Bridges,76,2018,2.850071429,5,25
Miles Plumlee,70,2012,2.850071429,11,35
Mitchell Robinson,79,2018,2.850071429,5,25
Miye Oni,69,2019,2.850071429,4,26
Mo Bamba,77,2018,2.850071429,5,25
Moe Harkless,74,2012,2.850071429,11,30
Monte Morris,77,2017,2.850071429,6,28
Montrezl Harrell,83,2015,2.850071429,8,29
Moritz Wagner,71,2018,2.850071429,5,26
Myles Turner,82,2015,2.850071429,8,27
Nassir Little,73,2019,2.850071429,4,23
Naz Reid,70,2019,2.850071429,4,24
Nemanja Bjelica,77,2010,2.850071429,13,35
Nerlens Noel,77,2013,0.245,10,29
Nickeil Alexander-Walker,72,2019,2.850071429,4,25
Nicolas Batum,77,2008,0.912,15,35
Nicolas Claxton,72,2019,2.850071429,4,33
Nicolo Melli,73,2013,2.850071429,10,32
Nikola Jokic,90,2014,0.009,9,28
Nikola Jokic,95,2014,0.009,9,28
Nikola Jokic,90,2014,0.009,9,28
Nikola Vucevic,86,2011,0.038,12,33
Noah Vonleh,75,2014,2.850071429,9,28
Norman Powell,74,2015,2.850071429,8,30
OG Anunoby,73,2017,2.850071429,6,26
Omari Spellman,73,2018,2.850071429,5,26
Otto Porter,80,2013,2.850071429,10,30
Pascal Siakam,87,2016,2.850071429,7,29
Pascal Siakam,88,2016,2.850071429,7,29
Pat Connaughton,74,2015,2.850071429,8,30
Patrick Beverley,79,2009,2.850071429,14,35
Patrick McCaw,72,2016,2.850071429,7,28
Patrick Mills,75,2009,2.850071429,14,35
Pau Gasol,75,2001,6.38,22,43
Paul George,93,2010,1.7,13,33
Paul George,90,2010,1.7,13,33
Paul Millsap,82,2017,0.065,6,38
PJ Tucker,79,2006,2.850071429,17,38
PJ Washington,72,2019,2.850071429,4,25
Quinn Cook,74,2015,2.850071429,8,30
Rajon Rondo,76,2006,2.850071429,17,37
Raul Neto,72,2013,2.850071429,10,31
Reggie Bullock,74,2013,2.850071429,10,32
Reggie Jackson,80,2011,2.850071429,12,33
Richaun Holmes,75,2015,0.01,8,30
Ricky Rubio,78,2009,2.23,14,33
RJ Barrett,78,2019,2.850071429,4,23
Robert Covington,80,2013,2.850071429,10,33
Robert Williams,74,2018,2.850071429,5,26
Robin Lopez,75,2008,2.850071429,15,35
Rodions Kurucs,75,2018,2.850071429,5,25
Rodney Hood,76,2014,2.850071429,9,31
Rodney McGruder,72,2013,2.850071429,10,32
Romeo Langford,72,2019,2.850071429,4,24
Rondae Hollis-Jefferson,75,2015,2.850071429,8,28
Royce O'Neale,73,2015,2.850071429,8,30
Rudy Gay,81,2006,0,17,37
Rudy Gobert,88,2013,0.195,10,31
Rudy Gobert,87,2013,0.195,10,31
Rui Hachimura,74,2019,2.850071429,4,25
Russell Westbrook,90,2008,4.5,15,35
Russell Westbrook,88,2008,4.5,15,35
Ryan Arcidiacono,72,2016,2.850071429,7,29
Ryan Broekhoff,72,2013,2.850071429,10,33
Sekou Doumbouya,73,2019,2.850071429,4,23
Semi Ojeleye,73,2017,2.850071429,6,29
Serge Ibaka,81,2008,2.850071429,15,34
Seth Curry,74,2013,2.850071429,10,33
Shabazz Napier,75,2014,2.850071429,9,32
Shai Gilgeous-Alexander,79,2018,2.850071429,5,25
Shake Milton,71,2018,2.850071429,5,27
Shaquille Harrison,73,2016,2.850071429,7,30
Skal Labissiere,70,2016,2.850071429,7,27
Solomon Hill,70,2013,2.850071429,10,32
Spencer Dinwiddie,82,2014,2.850071429,9,30
Stanley Johnson,73,2015,2.850071429,8,27
Stephen Curry,95,2009,9.56,14,35
Stephen Curry,95,2009,9.56,14,35
Stephen Curry,96,2009,9.56,14,35
Sterling Brown,73,2017,2.850071429,6,28
Steven Adams,82,2013,2.850071429,10,30
Sviatoslav Mykhailiuk,70,2018,2.850071429,5,26
Taj Gibson,77,2009,2.850071429,14,38
Talen Horton-Tucker,70,2019,2.850071429,4,23
Taurean Prince,77,2016,2.850071429,7,29
Terance Mann,69,2019,2.850071429,4,27
Terrance Ferguson,71,2017,2.850071429,6,25
Terrence Ross,79,2012,2.850071429,11,32
Terry Rozier,78,2015,2.850071429,8,29
Thaddeus Young,79,2007,2.850071429,16,35
Thanasis Antetokounmpo,70,2014,2.850071429,9,31
Theo Pinson,69,2018,2.850071429,5,28
Thomas Bryant,78,2017,2.850071429,6,26
Thon Maker,72,2016,2.850071429,7,26
Tim Frazier,72,2014,2.850071429,9,33
Tim Hardaway Jr,77,2013,2.850071429,10,31
TJ Leaf,74,2017,2.850071429,6,26
TJ McConnell,75,2015,2.850071429,8,31
TJ Warren,80,2014,2.850071429,9,30
Tobias Harris,85,2011,0.022,12,31
Tomas Satoransky,75,2012,2.850071429,11,32
Tony Bradley,70,2017,2.850071429,6,25
Tony Snell,73,2013,2.850071429,10,32
Torrey Craig,74,2014,2.850071429,9,33
Trae Young,85,2018,2.850071429,5,25
Trae Young,88,2018,2.850071429,5,25
Treveon Graham,71,2015,2.850071429,8,30
Trevor Ariza,76,2004,2.850071429,19,38
Trey Lyles,75,2015,2.850071429,8,28
Tristan Thompson,79,2011,2.850071429,12,32
Troy Brown,73,2018,2.850071429,5,24
Troy Daniels,72,2013,2.850071429,10,32
Ty Jerome,72,2019,2.850071429,4,26
Tyler Herro,73,2019,2.850071429,4,23
Tyler Johnson,74,2014,2.850071429,9,31
Tyler Lydon,70,2017,2.850071429,6,27
Tyrone Wallace,69,2016,2.850071429,7,29
Tyson Chandler,73,2001,0.84,22,41
Tyus Jones,73,2015,2.850071429,8,27
Victor Oladipo,87,2013,2.850071429,10,31
Vincent Poirier,73,2015,2.850071429,8,30
Wayne Ellington,75,2009,2.850071429,14,36
Wendell Carter,78,2018,2.850071429,5,24
Wesley Iwundu,72,2017,2.850071429,6,29
Wesley Matthews,76,2009,2.850071429,14,37
Will Barton,78,2012,2.850071429,11,32
Willie Cauley-Stein,79,2015,2.850071429,8,30
Willy Hernangomez,76,2015,0.055,8,29
Wilson Chandler,75,2007,2.850071429,16,36
Yante Maten,70,2018,2.850071429,5,27
Yogi Ferrell,74,2016,2.850071429,7,30
Zach Collins,74,2017,2.850071429,6,26
Zach LaVine,85,2014,2.850071429,9,28
Zhaire Smith,72,2018,2.850071429,5,24
Zion Williamson,81,2019,2.850071429,4,23
