full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
LeBron James,97,#23,Los Angeles Lakers,F,12/30/1984,6-9 / 2.06,250 lbs. / 113.4 kg.,"$37,436,858 ",USA,2003,1,1,,NBA2k20,5533.5,1501.5
Kawhi Leonard,97,#2,Los Angeles Clippers,F,6/29/1991,6-7 / 2.01,225 lbs. / 102.1 kg.,"$32,742,000 ",USA,2011,1,15,San Diego State,NBA2k20,2701.5,716.5
Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/6/1994,6-11 / 2.11,242 lbs. / 109.8 kg.,"$25,842,697 ",Greece,2013,1,15,,NBA2k20,#N/A,#N/A
Kevin Durant,96,#7,Brooklyn Nets,F,9/29/1988,6-10 / 2.08,230 lbs. / 104.3 kg.,"$37,199,000 ",USA,2007,1,2,Texas,NBA2k20,1425.5,366
James Harden,96,#13,Houston Rockets,G,8/26/1989,6-5 / 1.96,220 lbs. / 99.8 kg.,"$38,199,000 ",USA,2009,1,3,Arizona State,NBA2k20,969,321.5
Stephen Curry,95,#30,Golden State Warriors,G,3/14/1988,6-3 / 1.91,185 lbs. / 83.9 kg.,"$40,231,758 ",USA,2009,1,7,Davidson,NBA2k20,12278,2893
Anthony Davis,94,#3,Los Angeles Lakers,F-C,3/11/1993,6-10 / 2.08,222 lbs. / 100.7 kg.,"$27,093,019 ",USA,2012,1,1,Kentucky,NBA2k20,368,104
Paul George,93,#13,Los Angeles Clippers,F,5/2/1990,6-8 / 2.03,210 lbs. / 95.3 kg.,"$33,005,556 ",USA,2010,1,10,Fresno State,NBA2k20,228.5,128
Damian Lillard,92,#0,Portland Trail Blazers,G,7/15/1990,6-2 / 1.88,195 lbs. / 88.5 kg.,"$29,802,321 ",USA,2012,1,6,Weber State,NBA2k20,186.5,43
Joel Embiid,91,#21,Philadelphia 76ers,C,3/16/1994,7-0 / 2.13,250 lbs. / 113.4 kg.,"$27,504,630 ",Cameroon,2014,1,3,Kansas,NBA2k20,6852.5,2941
Kyrie Irving,91,#11,Brooklyn Nets,G,3/23/1992,6-2 / 1.88,180 lbs. / 81.6 kg.,"$31,742,000 ",Australia,2011,1,1,Duke,NBA2k20,1541,695
Nikola Jokic,90,#15,Denver Nuggets,C,2/19/1995,7-0 / 2.13,253 lbs. / 114.8 kg.,"$27,504,630 ",Serbia,2014,2,41,,NBA2k20,0,1
Russell Westbrook,90,#0,Houston Rockets,G,11/12/1988,6-3 / 1.91,190 lbs. / 86.2 kg.,"$38,506,482 ",USA,2008,1,4,UCLA,NBA2k20,2130.5,559
Klay Thompson,89,#11,Golden State Warriors,G,2/8/1990,6-6 / 1.98,205 lbs. / 93 kg.,"$32,742,000 ",USA,2011,1,11,Washington State,NBA2k20,797,225
Karl-Anthony Towns,89,#32,Minnesota Timberwolves,F-C,11/15/1995,6-11 / 2.11,248 lbs. / 112.5 kg.,"$27,285,000 ",USA,2015,1,1,Kentucky,NBA2k20,0,105
Jimmy Butler,88,#22,Miami Heat,G,9/14/1989,6-7 / 2.01,220 lbs. / 99.8 kg.,"$32,742,000 ",USA,2011,1,30,Marquette,NBA2k20,89.5,30
Rudy Gobert,88,#27,Utah Jazz,C,6/26/1992,7-1 / 2.16,238 lbs. / 108 kg.,"$25,258,427 ",France,2013,1,27,,NBA2k20,731,225.5
Blake Griffin,88,#23,Detroit Pistons,F,3/16/1989,6-9 / 2.06,252 lbs. / 114.3 kg.,"$34,449,964 ",USA,2009,1,1,Oklahoma,NBA2k20,269,98.5
Donovan Mitchell,88,#45,Utah Jazz,G,9/7/1996,6-1 / 1.85,211 lbs. / 95.7 kg.,"$3,635,760 ",USA,2017,1,13,Louisville,NBA2k20,#N/A,#N/A
Kemba Walker,88,#8,Boston Celtics,G,5/8/1990,6-0 / 1.83,172 lbs. / 78 kg.,"$32,742,000 ",USA,2011,1,9,UConn,NBA2k20,59.5,32.5
Luka Doncic,87,#77,Dallas Mavericks,G-F,2/28/1999,6-7 / 2.01,227 lbs. / 103 kg.,"$7,683,360 ",Slovenia,2018,1,3,,NBA2k20,#N/A,#N/A
LaMarcus Aldridge,87,#12,San Antonio Spurs,F-C,7/19/1985,6-11 / 2.11,246 lbs. / 111.6 kg.,"$26,000,000 ",USA,2006,1,2,Texas,NBA2k20,195,63
Bradley Beal,87,#3,Washington Wizards,G,6/28/1993,6-3 / 1.91,207 lbs. / 93.9 kg.,"$27,093,018 ",USA,2012,1,3,Florida,NBA2k20,55.5,40.5
Mike Conley,87,#10,Utah Jazz,G,10/11/1987,6-1 / 1.85,185 lbs. / 83.9 kg.,"$32,511,623 ",USA,2007,1,4,Ohio State,NBA2k20,257.5,90
DeMar DeRozan,87,#10,San Antonio Spurs,G-F,8/7/1989,6-6 / 1.98,220 lbs. / 99.8 kg.,"$27,739,975 ",USA,2009,1,9,USC,NBA2k20,0,186
CJ McCollum,87,#3,Portland Trail Blazers,G,9/19/1991,6-3 / 1.91,197 lbs. / 89.4 kg.,"$27,556,959 ",USA,2013,1,10,Lehigh,NBA2k20,#N/A,#N/A
Victor Oladipo,87,#4,Indiana Pacers,G,5/4/1992,6-4 / 1.93,213 lbs. / 96.6 kg.,"$21,000,000 ",USA,2013,1,2,Indiana,NBA2k20,78,28
Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,8/2/1995,7-3 / 2.21,220 lbs. / 99.8 kg.,"$27,285,000 ",Latvia,2015,1,4,,NBA2k20,485,214
D'Angelo Russell,87,#0,Minnesota Timberwolves,G,2/23/1996,6-4 / 1.93,193 lbs. / 87.5 kg.,"$27,285,000 ",USA,2015,1,2,Ohio State,NBA2k20,0,232
Pascal Siakam,87,#43,Toronto Raptors,F,4/2/1994,6-9 / 2.06,227 lbs. / 103 kg.,"$2,351,838 ",Cameroon,2016,1,27,New Mexico State,NBA2k20,#N/A,#N/A
Ben Simmons,87,#25,Philadelphia 76ers,F,7/20/1996,6-10 / 2.08,240 lbs. / 108.9 kg.,"$8,113,929 ",Australia,2016,1,1,LSU,NBA2k20,#N/A,#N/A
De'Aaron Fox,86,#5,Sacramento Kings,G,12/20/1997,6-3 / 1.91,171 lbs. / 77.6 kg.,"$6,392,760 ",USA,2017,1,5,Kentucky,NBA2k20,#N/A,#N/A
Devin Booker,86,#1,Phoenix Suns,G,10/30/1996,6-5 / 1.96,206 lbs. / 93.4 kg.,"$27,285,000 ",USA,2015,1,13,Kentucky,NBA2k20,1170.5,335.5
DeMarcus Cousins,86,#0,Free agent,C,8/13/1990,6-10 / 2.08,270 lbs. / 122.5 kg.,"$3,500,000 ",USA,2010,1,5,Kentucky,NBA2k20,102,91.5
Andre Drummond,86,#0,Cleveland Cavaliers,C,8/10/1993,6-10 / 2.08,270 lbs. / 122.5 kg.,"$27,093,018 ",USA,2012,1,9,UConn,NBA2k20,0,25
Draymond Green,86,#23,Golden State Warriors,F,3/4/1990,6-6 / 1.98,230 lbs. / 104.3 kg.,"$18,539,130 ",USA,2012,2,35,Michigan State,NBA2k20,627,168.5
Jrue Holiday,86,#11,New Orleans Pelicans,G,6/12/1990,6-3 / 1.91,180 lbs. / 81.6 kg.,"$26,131,111 ",USA,2009,1,17,UCLA,NBA2k20,0,39
Nikola Vucevic,86,#9,Orlando Magic,C,10/24/1990,6-11 / 2.11,240 lbs. / 108.9 kg.,"$28,000,000 ",Montenegro,2011,1,16,USC,NBA2k20,5.5,35.5
John Wall,86,#2,Washington Wizards,G,9/6/1990,6-4 / 1.93,195 lbs. / 88.5 kg.,"$38,199,000 ",USA,2010,1,1,Kentucky,NBA2k20,0,77
Jayson Tatum,85,#0,Boston Celtics,F,3/3/1998,6-8 / 2.03,204 lbs. / 92.5 kg.,"$7,830,000 ",USA,2017,1,3,Duke,NBA2k20,#N/A,#N/A
Trae Young,85,#11,Atlanta Hawks,G,9/19/1998,6-1 / 1.85,180 lbs. / 81.6 kg.,"$6,273,000 ",USA,2018,1,5,Oklahoma,NBA2k20,#N/A,#N/A
Eric Bledsoe,85,#6,Milwaukee Bucks,G,12/9/1989,6-1 / 1.85,195 lbs. / 88.5 kg.,"$15,625,000 ",USA,2010,1,18,Kentucky,NBA2k20,9,30.5
Clint Capela,85,#15,Atlanta Hawks,C,5/18/1994,6-10 / 2.08,211 lbs. / 95.7 kg.,"$16,896,552 ",Switzerland,2014,1,25,,NBA2k20,120,45.5
Tobias Harris,85,#12,Philadelphia 76ers,F,7/15/1992,6-8 / 2.03,226 lbs. / 102.5 kg.,"$32,742,000 ",USA,2011,1,19,Tennessee,NBA2k20,2,4
Al Horford,85,#42,Philadelphia 76ers,C-F,6/3/1986,6-9 / 2.06,246 lbs. / 111.6 kg.,"$28,000,000 ",Dominican Republic,2007,1,3,Florida,NBA2k20,136,71
Zach LaVine,85,#8,Chicago Bulls,G,3/10/1995,6-6 / 1.98,181 lbs. / 82.1 kg.,"$19,500,000 ",USA,2014,1,13,UCLA,NBA2k20,178.5,67
Kyle Lowry,85,#7,Toronto Raptors,G,3/25/1986,6-0 / 1.83,205 lbs. / 93 kg.,"$33,296,296 ",USA,2006,1,24,Villanova,NBA2k20,561,162
Khris Middleton,85,#22,Milwaukee Bucks,F,8/12/1991,6-7 / 2.01,217 lbs. / 98.4 kg.,"$30,603,448 ",USA,2012,2,39,Texas A&M,NBA2k20,16,9
Chris Paul,85,#3,Oklahoma City Thunder,G,5/6/1985,6-1 / 1.85,175 lbs. / 79.4 kg.,"$38,506,482 ",USA,2005,1,4,Wake Forest,NBA2k20,829,178.5
John Collins,84,#20,Atlanta Hawks,F,9/23/1997,6-9 / 2.06,225 lbs. / 102.1 kg.,"$2,686,560 ",USA,2017,1,19,Wake Forest,NBA2k20,#N/A,#N/A
Buddy Hield,84,#24,Sacramento Kings,G,12/17/1993,6-4 / 1.93,212 lbs. / 96.2 kg.,"$4,861,207 ",The Bahamas,2016,1,6,Oklahoma,NBA2k20,512,333
Kyle Kuzma,84,#0,Los Angeles Lakers,F,7/24/1995,6-8 / 2.03,221 lbs. / 100.2 kg.,"$1,974,600 ",USA,2017,1,27,Utah,NBA2k20,#N/A,#N/A
Jamal Murray,84,#27,Denver Nuggets,G,2/23/1997,6-4 / 1.93,201 lbs. / 91.2 kg.,"$4,444,746 ",Canada,2016,1,7,Kentucky,NBA2k20,0,62.5
Louis Williams,84,#23,Los Angeles Clippers,G,10/27/1986,6-1 / 1.85,175 lbs. / 79.4 kg.,"$8,000,000 ",USA,2005,2,45,,NBA2k20,#N/A,#N/A
Marvin Bagley,83,#35,Sacramento Kings,F,3/14/1999,6-11 / 2.11,235 lbs. / 106.6 kg.,"$8,556,120 ",USA,2018,1,2,Duke,NBA2k20,#N/A,#N/A
Bojan Bogdanovic,83,#44,Utah Jazz,G-F,4/18/1989,6-8 / 2.03,216 lbs. / 98 kg.,"$17,000,000 ",Croatia,2011,2,31,,NBA2k20,#N/A,#N/A
Malcolm Brogdon,83,#7,Indiana Pacers,G,12/11/1992,6-5 / 1.96,223 lbs. / 101.2 kg.,"$20,000,000 ",USA,2016,2,36,Virginia,NBA2k20,#N/A,#N/A
Danilo Gallinari,83,#8,Oklahoma City Thunder,F,8/8/1988,6-10 / 2.08,225 lbs. / 102.1 kg.,"$22,615,559 ",Italy,2008,1,6,,NBA2k20,29,6
Montrezl Harrell,83,#5,Los Angeles Clippers,F,1/26/1994,6-7 / 2.01,253 lbs. / 114.8 kg.,"$6,000,000 ",USA,2015,2,32,Louisville,NBA2k20,11,4
Kevin Love,83,#0,Cleveland Cavaliers,F,9/7/1988,6-8 / 2.03,260 lbs. / 117.9 kg.,"$28,942,830 ",USA,2008,1,5,UCLA,NBA2k20,866.5,194.5
Lauri Markkanen,83,#24,Chicago Bulls,F-C,5/22/1997,7-0 / 2.13,240 lbs. / 108.9 kg.,"$5,300,400 ",Finland,2017,1,7,Arizona,NBA2k20,#N/A,#N/A
Jusuf Nurkic,83,#27,Portland Trail Blazers,C,8/23/1994,7-0 / 2.13,290 lbs. / 131.5 kg.,"$12,000,000 ",Bosnia and Herzegovina,2014,1,16,,NBA2k20,45,43.5
Julius Randle,83,#30,New York Knicks,F,11/29/1994,6-8 / 2.03,250 lbs. / 113.4 kg.,"$18,000,000 ",USA,2014,1,7,Kentucky,NBA2k20,102,59
Marc Gasol,82,#33,Toronto Raptors,C,1/29/1985,6-11 / 2.11,265 lbs. / 120.2 kg.,"$25,595,700 ",Spain,2007,2,48,,NBA2k20,0,75.5
Steven Adams,82,#12,Oklahoma City Thunder,C,7/20/1993,6-11 / 2.11,255 lbs. / 115.7 kg.,"$25,842,697 ",New Zealand,2013,1,12,Pittsburgh,NBA2k20,36,99
Deandre Ayton,82,#22,Phoenix Suns,C,7/23/1998,6-11 / 2.11,250 lbs. / 113.4 kg.,"$9,562,920 ",The Bahamas,2018,1,1,Arizona,NBA2k20,#N/A,#N/A
Spencer Dinwiddie,82,#8,Brooklyn Nets,G,4/6/1993,6-5 / 1.96,205 lbs. / 93 kg.,"$10,605,600 ",USA,2014,2,38,Colorado,NBA2k20,0,7
Jaren Jackson,82,#13,Memphis Grizzlies,F-C,9/15/1999,6-11 / 2.11,242 lbs. / 110 kg.,"$6,699,960 ",USA,2018,1,4,Michigan State,NBA2k20,#N/A,#N/A
Paul Millsap,82,#4,Denver Nuggets,F-C,2/10/1985,6-7 / 2.01,250 lbs. / 113.4 kg.,"$30,350,000 ",USA,2017,2,47,Louisiana Tech,NBA2k20,60,32
Marcus Smart,82,#36,Boston Celtics,G,3/6/1994,6-3 / 1.91,227 lbs. / 103 kg.,"$12,553,571 ",USA,2014,1,6,Oklahoma State,NBA2k20,1,9
Myles Turner,82,#33,Indiana Pacers,F-C,3/24/1996,6-11 / 2.11,239 lbs. / 108.4 kg.,"$18,000,000 ",USA,2015,1,11,Texas,NBA2k20,53,31
Serge Ibaka,81,#9,Toronto Raptors,F,9/18/1989,7-0 / 2.13,240 lbs. / 108.9 kg.,"$23,271,604 ",Spain,2008,1,24,,NBA2k20,#N/A,#N/A
Zion Williamson,81,#1,New Orleans Pelicans,F,7/6/2000,6-6 / 1.98,284 lbs. / 128.8 kg.,"$9,757,440 ",USA,2019,1,1,Duke,NBA2k20,#N/A,#N/A
Rudy Gay,81,#22,San Antonio Spurs,F,8/17/1986,6-8 / 2.03,230 lbs. / 104.3 kg.,"$14,500,000 ",USA,2006,1,8,UConn,NBA2k20,#N/A,#N/A
Aaron Gordon,81,#0,Orlando Magic,F,9/16/1995,6-8 / 2.03,220 lbs. / 99.8 kg.,"$19,863,636 ",USA,2014,1,4,Arizona,NBA2k20,42.5,16
Brandon Ingram,81,#14,New Orleans Pelicans,F,9/2/1997,6-7 / 2.01,196 lbs. / 88.9 kg.,"$7,265,485 ",USA,2016,1,2,Duke,NBA2k20,194,100
DeAndre Jordan,81,#6,Brooklyn Nets,C,7/21/1988,6-11 / 2.11,265 lbs. / 120.2 kg.,"$9,881,598 ",USA,2008,2,35,Texas A&M,NBA2k20,189.5,27
Domantas Sabonis,81,#11,Indiana Pacers,F-C,5/3/1996,6-11 / 2.11,231 lbs. / 104.8 kg.,"$3,529,554 ",Lithuania,2016,1,11,Gonzaga,NBA2k20,0,82
Jonas Valanciunas,81,#17,Memphis Grizzlies,C,5/6/1992,6-11 / 2.11,231 lbs. / 104.8 kg.,"$16,000,000 ",Lithuania,2011,1,5,,NBA2k20,65,40
Hassan Whiteside,81,#21,Portland Trail Blazers,C,6/13/1989,7-0 / 2.13,235 lbs. / 106.6 kg.,"$27,093,018 ",USA,2010,2,33,Marshall,NBA2k20,194,155
Derrick Rose,80,#25,Detroit Pistons,G,10/4/1988,6-2 / 1.88,190 lbs. / 86.2 kg.,"$7,317,074 ",USA,2008,1,1,Memphis,NBA2k20,1864,2504.5
Robert Covington,80,#33,Houston Rockets,F,12/14/1990,6-7 / 2.01,209 lbs. / 94.8 kg.,"$11,301,219 ",USA,2013,Undrafted,Undrafted,Tennessee State,NBA2k20,38,15
Derrick Favors,80,#22,New Orleans Pelicans,F,7/15/1991,6-9 / 2.06,246 lbs. / 111.6 kg.,"$17,650,000 ",USA,2010,1,3,Georgia Tech,NBA2k20,25,6.5
Gordon Hayward,80,#20,Boston Celtics,F,3/23/1990,6-7 / 2.01,207 lbs. / 93.9 kg.,"$32,700,690 ",USA,2010,1,9,Butler,NBA2k20,319,50.5
Reggie Jackson,80,#0,Los Angeles Clippers,G,4/16/1990,6-3 / 1.91,208 lbs. / 94.3 kg.,"$17,799,677 ",USA,2011,1,24,Boston College,NBA2k20,37,9.5
Enes Kanter,80,#11,Boston Celtics,C,5/20/1992,6-10 / 2.08,262 lbs. / 118.8 kg.,"$4,767,000 ",Turkey,2011,1,3,,NBA2k20,147,195
Otto Porter,80,#22,Chicago Bulls,F,6/3/1993,6-8 / 2.03,198 lbs. / 89.8 kg.,"$27,250,576 ",USA,2013,1,2,Georgetown,NBA2k20,#N/A,#N/A
JJ Redick,80,#4,New Orleans Pelicans,G,6/24/1984,6-3 / 1.91,190 lbs. / 86.2 kg.,"$13,486,300 ",USA,2006,1,11,Duke,NBA2k20,#N/A,#N/A
Josh Richardson,80,#0,Philadelphia 76ers,G,9/15/1993,6-5 / 1.96,200 lbs. / 90.7 kg.,"$10,116,576 ",USA,2015,2,40,Tennessee,NBA2k20,42,10
TJ Warren,80,#1,Indiana Pacers,F,9/5/1993,6-8 / 2.03,220 lbs. / 99.8 kg.,"$11,060,000 ",USA,2014,1,14,NC State,NBA2k20,#N/A,#N/A
Ja Morant,79,#12,Memphis Grizzlies,G,8/10/1999,6-3 / 1.91,174 lbs. / 78.9 kg.,"$8,730,240 ",USA,2019,1,2,Murray State,NBA2k20,#N/A,#N/A
Bam Adebayo,79,#13,Miami Heat,F-C,7/18/1997,6-9 / 2.06,243 lbs. / 110.2 kg.,"$3,454,080 ",USA,2017,1,14,Kentucky,NBA2k20,#N/A,#N/A
Jarrett Allen,79,#31,Brooklyn Nets,C,4/20/1998,6-11 / 2.11,234 lbs. / 106.1 kg.,"$2,376,840 ",USA,2017,1,22,Texas,NBA2k20,#N/A,#N/A
Lonzo Ball,79,#2,New Orleans Pelicans,G,10/27/1997,6-6 / 1.98,190 lbs. / 86.2 kg.,"$8,719,320 ",USA,2017,1,2,UCLA,NBA2k20,#N/A,#N/A
Harrison Barnes,79,#40,Sacramento Kings,F,5/30/1992,6-8 / 2.03,210 lbs. / 95.3 kg.,"$24,147,727 ",USA,2012,1,7,North Carolina,NBA2k20,88.5,28.5
Patrick Beverley,79,#21,Los Angeles Clippers,G,7/12/1988,6-1 / 1.85,180 lbs. / 81.6 kg.,"$12,345,680 ",USA,2009,2,42,Arkansas,NBA2k20,214.5,51
Jaylen Brown,79,#7,Boston Celtics,F,10/24/1996,6-6 / 1.98,223 lbs. / 101.2 kg.,"$6,534,829 ",USA,2016,1,3,California,NBA2k20,0,100
Willie Cauley-Stein,79,#0,Dallas Mavericks,C,8/18/1993,7-0 / 2.13,242 lbs. / 109.8 kg.,"$2,177,483 ",USA,2015,1,6,Kentucky,NBA2k20,0,17
Goran Dragic,79,#7,Miami Heat,G,5/6/1986,6-3 / 1.91,190 lbs. / 86.2 kg.,"$19,217,900 ",Slovenia,2008,2,45,,NBA2k20,62.5,45
Shai Gilgeous-Alexander,79,#2,Oklahoma City Thunder,G,7/12/1998,6-5 / 1.96,180 lbs. / 81.6 kg.,"$3,952,920 ",Canada,2018,1,11,Kentucky,NBA2k20,#N/A,#N/A
Gary Harris,79,#14,Denver Nuggets,G,9/14/1994,6-4 / 1.93,205 lbs. / 93 kg.,"$17,839,286 ",USA,2014,1,19,Michigan State,NBA2k20,6,2.5
Joe Ingles,79,#2,Utah Jazz,F,10/2/1987,6-7 / 2.01,209 lbs. / 94.8 kg.,"$11,454,546 ",Australia,2009,Undrafted,Undrafted,,NBA2k20,86.5,4
Jeremy Lamb,79,#26,Indiana Pacers,G,5/30/1992,6-5 / 1.96,180 lbs. / 81.6 kg.,"$10,500,000 ",USA,2012,1,12,UConn,NBA2k20,#N/A,#N/A
Brook Lopez,79,#11,Milwaukee Bucks,C,4/1/1988,7-0 / 2.13,265 lbs. / 120.2 kg.,"$12,093,024 ",USA,2008,1,10,Stanford,NBA2k20,#N/A,#N/A
JaVale McGee,79,#7,Los Angeles Lakers,C,1/19/1988,7-0 / 2.13,270 lbs. / 122.5 kg.,"$4,000,000 ",USA,2008,1,18,Nevada,NBA2k20,0,32
Mitchell Robinson,79,#23,New York Knicks,C,4/1/1998,7-0 / 2.13,223 lbs. / 101.2 kg.,"$1,559,712 ",USA,2018,2,36,,NBA2k20,#N/A,#N/A
Terrence Ross,79,#8,Orlando Magic,G,2/5/1991,6-6 / 1.98,206 lbs. / 93.4 kg.,"$12,500,000 ",USA,2012,1,8,Washington,NBA2k20,0,0
Tristan Thompson,79,#13,Cleveland Cavaliers,F,3/13/1991,6-9 / 2.06,225 lbs. / 102.1 kg.,"$18,539,130 ",Canada,2011,1,4,Texas,NBA2k20,368,211
PJ Tucker,79,#17,Houston Rockets,F,5/5/1985,6-5 / 1.96,225 lbs. / 102.1 kg.,"$8,349,039 ",USA,2006,2,35,Texas,NBA2k20,#N/A,#N/A
Fred VanVleet,79,#23,Toronto Raptors,G,2/25/1994,6-1 / 1.85,197 lbs. / 89.4 kg.,"$9,346,153 ",USA,2006,Undrafted,Undrafted,Wichita State,NBA2k20,0,17.5
Andrew Wiggins,79,#22,Golden State Warriors,F,2/23/1995,6-7 / 2.01,197 lbs. / 89.4 kg.,"$27,504,630 ",Canada,2014,1,1,Kansas,NBA2k20,182,54.5
Thaddeus Young,79,#21,Chicago Bulls,F,6/21/1988,6-8 / 2.03,220 lbs. / 99.8 kg.,"$12,900,000 ",USA,2007,1,12,Georgia Tech,NBA2k20,0,1.5
RJ Barrett,78,#9,New York Knicks,G,6/14/2000,6-6 / 1.98,202 lbs. / 91.6 kg.,"$7,839,960 ",Canada,2019,1,3,Duke,NBA2k20,#N/A,#N/A
Ricky Rubio,78,#11,Phoenix Suns,G,10/21/1990,6-3 / 1.91,180 lbs. / 81.6 kg.,"$16,200,000 ",Spain,2009,1,5,,NBA2k20,262.5,76
Will Barton,78,#5,Denver Nuggets,G,1/6/1991,6-5 / 1.96,175 lbs. / 79.4 kg.,"$12,776,786 ",USA,2012,2,40,Memphis,NBA2k20,1,3
Bogdan Bogdanovic,78,#8,Sacramento Kings,G,8/18/1992,6-6 / 1.98,205 lbs. / 93 kg.,"$8,529,386 ",Serbia,2014,1,27,,NBA2k20,#N/A,#N/A
