rating,height,weight,salary,draft_year,draft_round,draft_peak,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age,bmi,team_salary,position_C,position_C-F,position_F,position_F-C,position_F-G,position_G,position_G-F,country_USA,country_not USA
81,2.03,99.8,0.43326519715328127,2014,1,4,42.5,16.0,2.850071428571429,9.0,28.0,24.218010628746153,4,0,0,1,0,0,0,0,1,0
73,1.83,83.9,0.04787128266654153,2018,1,23,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,25.05300247842575,2,0,0,0,0,0,1,0,1,0
70,1.96,102.1,0.03429885998909361,2016,2,58,583.257281553398,198.99757281553397,2.850071428571429,7.0,30.0,26.57746772178259,6,0,0,1,0,0,0,0,0,1
71,1.96,109.3,0.02077367007729511,2019,2,42,583.257281553398,198.99757281553397,2.850071428571429,4.0,26.0,28.45168679716785,6,0,0,1,0,0,0,0,1,0
85,2.06,111.6,0.6111832406951562,2007,1,3,136.0,71.0,0.253,16.0,37.0,26.298425864831746,6,0,1,0,0,0,0,0,0,1
73,1.98,88.5,0.04963910012309821,2011,1,12,10.0,15.0,2.850071428571429,12.0,32.0,22.574227119681666,6,0,0,0,0,0,1,0,1,0
71,2.08,97.5,0.018550012698179175,2019,2,39,583.257281553398,198.99757281553397,2.850071428571429,4.0,23.0,22.53605769230769,6,0,0,1,0,0,0,0,0,1
73,1.96,84.4,0.0590409570617861,2016,0,0,583.257281553398,198.99757281553397,2.850071428571429,7.0,29.0,21.97001249479384,6,0,0,0,0,0,1,0,1,0
77,2.13,102.1,0.08987345686071883,2013,1,5,10.5,6.0,2.850071428571429,10.0,30.0,22.50435319270868,3,1,0,0,0,0,0,0,0,1
77,2.03,97.5,0.2013515306018246,2010,1,8,33.0,9.0,2.850071428571429,13.0,33.0,23.65988012327405,4,0,0,1,0,0,0,0,0,1
72,2.03,97.5,0.051212235490498935,2015,0,0,583.257281553398,198.99757281553397,2.850071428571429,8.0,31.0,23.65988012327405,6,0,0,1,0,0,0,0,1,0
70,2.01,91.2,0.02988898157104313,2018,2,50,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,22.573698670824985,2,0,0,1,0,0,0,0,1,0
73,1.96,89.4,0.3885432028704576,2013,2,31,11.5,9.0,2.850071428571429,10.0,31.0,23.271553519366933,1,0,0,0,0,0,0,1,1,0
75,1.93,90.7,0.07655862769222938,2018,0,0,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,24.34964697038847,1,0,0,0,0,0,0,1,1,0
69,2.06,101.6,0.03234147732632633,2017,0,0,583.257281553398,198.99757281553397,2.850071428571429,6.0,30.0,23.94193609199736,1,0,0,0,1,0,0,0,1,0
86,2.08,122.5,0.5913502461330032,2012,1,9,0.0,25.0,1.22,11.0,30.0,28.314534023668635,6,1,0,0,0,0,0,0,1,0
78,1.98,93.9,0.3746954525299116,2004,1,9,300.5,43.0,2.850071428571429,19.0,39.0,23.951637588001226,6,0,0,0,0,0,0,1,1,0
76,2.01,93.4,0.23377463751804411,2013,1,26,10.0,8.0,2.850071428571429,10.0,32.0,23.118239647533485,6,0,0,0,0,0,0,1,1,0
79,2.01,89.4,0.600350974436009,2014,1,1,182.0,54.5,2.850071428571429,9.0,28.0,22.128165144427125,6,0,0,1,0,0,0,0,0,1
72,1.91,82.1,0.045911122892090234,2018,1,24,583.257281553398,198.99757281553397,2.850071428571429,5.0,24.0,22.504865546448837,6,0,0,0,0,0,1,0,1,0
73,2.08,113.4,0.048802817766849714,2016,1,23,583.257281553398,198.99757281553397,2.850071428571429,7.0,26.0,26.211168639053252,6,1,0,0,0,0,0,0,0,1
94,2.08,100.7,0.5913502680000243,2012,1,1,368.0,104.0,1.22,11.0,30.0,23.27570266272189,6,0,0,0,1,0,0,0,1,0
95,2.08,100.7,0.7148766549125597,2012,1,1,368.0,104.0,1.22,11.0,30.0,23.27570266272189,6,0,0,0,1,0,0,0,1,0
72,2.03,108.9,0.061327285323472064,2007,0,0,11.0,2.0,2.850071428571429,16.0,38.0,26.4262661069184,2,0,0,1,0,0,0,0,1,0
72,1.93,89.4,0.03144982767256655,2017,0,0,583.257281553398,198.99757281553397,2.850071428571429,6.0,27.0,24.000644312598997,1,0,0,0,0,0,0,1,1,0
75,2.08,117.9,0.1181536379528917,2009,0,0,583.257281553398,198.99757281553397,2.850071428571429,14.0,37.0,27.251294378698223,1,1,0,0,0,0,0,0,0,1
76,1.91,90.7,0.0464523316651566,2012,1,10,75.5,23.0,2.850071428571429,11.0,31.0,24.862257065321675,6,0,0,0,0,0,1,0,1,0
76,1.91,88.5,0.1468807809570434,2010,1,19,583.257281553398,198.99757281553397,2.850071428571429,13.0,33.0,24.259203420958855,6,0,0,0,0,0,1,0,1,0
79,2.06,110.2,0.07443708930180919,2017,1,14,583.257281553398,198.99757281553397,2.850071428571429,6.0,26.0,25.968517296634936,6,0,0,0,1,0,0,0,1,0
71,1.91,85.7,0.04326595681359541,2013,1,7,30.0,17.0,2.850071428571429,10.0,30.0,23.49168060086072,6,0,0,0,0,0,1,0,1,0
87,2.08,108.9,0.17633410586603396,2016,1,1,583.257281553398,198.99757281553397,2.850071428571429,7.0,27.0,25.17104289940828,6,0,0,1,0,0,0,0,0,1
75,2.03,103.9,0.37064600822121274,2011,1,7,583.257281553398,198.99757281553397,2.850071428571429,12.0,31.0,25.212938921109476,5,1,0,0,0,0,0,0,0,1
88,2.06,114.3,0.752224739796662,2009,1,1,269.0,98.5,4.19,14.0,34.0,26.93467810349703,2,0,0,1,0,0,0,0,1,0
75,2.24,131.5,0.07544122291228224,2010,0,0,583.257281553398,198.99757281553397,0.0,13.0,35.0,26.207748724489793,6,1,0,0,0,0,0,0,0,1
78,2.08,111.6,0.3269119659532231,2015,1,22,37.0,73.0,2.850071428571429,8.0,28.0,25.795118343195263,1,0,0,0,1,0,0,0,1,0
78,1.98,93.0,0.18541891286530007,2014,1,27,583.257281553398,198.99757281553397,2.850071428571429,9.0,31.0,23.72206917661463,3,0,0,0,0,0,1,0,0,1
83,2.03,98.0,0.37064600822121274,2011,2,31,583.257281553398,198.99757281553397,2.850071428571429,12.0,34.0,23.78121284185494,6,0,0,0,0,0,0,1,0,1
73,1.91,95.3,0.030519735795653216,2011,0,0,583.257281553398,198.99757281553397,2.850071428571429,12.0,34.0,26.12318741262575,4,0,0,0,0,0,1,0,1,0
87,1.91,93.9,0.5913502461330032,2012,1,3,55.5,40.5,0.276,11.0,30.0,25.739426002576685,6,0,0,0,0,0,1,0,1,0
88,1.91,93.9,0.6276222986411439,2012,1,3,55.5,40.5,0.276,11.0,30.0,25.739426002576685,6,0,0,0,0,0,1,0,1,0
73,2.03,97.5,0.053111495611092054,2019,1,21,583.257281553398,198.99757281553397,2.850071428571429,4.0,27.0,23.65988012327405,2,0,0,1,0,0,0,0,0,1
68,1.83,81.6,0.010337371836842458,2018,0,0,583.257281553398,198.99757281553397,2.850071428571429,5.0,28.0,24.36620980023291,1,0,0,0,0,0,1,0,1,0
81,2.01,88.9,0.15778116298702283,2016,1,2,194.0,100.0,2.850071428571429,7.0,26.0,22.00440583153883,3,0,0,1,0,0,0,0,1,0
72,1.88,85.7,0.34098886080823226,2011,1,8,583.257281553398,198.99757281553397,2.850071428571429,12.0,32.0,24.247397012222727,2,0,0,0,0,0,1,0,1,0
79,2.13,120.2,0.2633450603252072,2008,1,10,583.257281553398,198.99757281553397,0.0,15.0,35.0,26.493861447243717,6,1,0,0,0,0,0,0,1,0
73,1.93,86.2,0.02988898157104313,2018,2,42,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,23.14156084727107,2,0,0,0,0,0,1,0,1,0
71,2.06,111.1,0.02952047853089305,2019,2,34,583.257281553398,198.99757281553397,2.850071428571429,4.0,25.0,26.180601376190026,1,0,0,1,0,0,0,0,0,1
75,1.88,84.8,0.06177433470353546,2016,0,0,583.257281553398,198.99757281553397,2.850071428571429,7.0,30.0,23.99275690357628,3,0,0,0,0,0,1,0,1,0
84,1.93,96.2,0.10520676514902397,2016,1,6,512.0,333.0,2.850071428571429,7.0,30.0,25.826196676420846,3,0,0,0,0,0,1,0,0,1
70,2.06,112.9,0.043365801632093234,2017,1,26,583.257281553398,198.99757281553397,2.850071428571429,6.0,26.0,26.604769535300218,6,1,0,0,0,0,0,0,1,0
69,2.01,102.1,0.0006465640808899597,2018,0,0,583.257281553398,198.99757281553397,2.850071428571429,5.0,28.0,25.271651691789813,6,0,0,0,0,0,1,0,1,0
72,2.03,95.3,0.08710596666600044,2019,1,11,583.257281553398,198.99757281553397,2.850071428571429,4.0,27.0,23.12601616151812,1,0,0,1,0,0,0,0,1,0
72,1.88,81.6,0.006478935957749067,2015,1,14,38.5,21.0,2.850071428571429,8.0,29.0,23.087369850611136,1,0,0,0,0,0,1,0,1,0
78,1.98,86.6,0.05632325807418982,2016,1,20,0.0,28.0,2.850071428571429,7.0,29.0,22.0895826956433,6,0,0,0,0,0,1,0,1,0
71,1.8,90.7,0.02575991943839542,2019,2,33,583.257281553398,198.99757281553397,2.850071428571429,4.0,25.0,27.993827160493826,4,0,0,0,0,0,1,0,1,0
75,2.01,97.5,0.062477206363845454,2015,2,31,583.257281553398,198.99757281553397,2.850071428571429,8.0,28.0,24.1330660132175,6,0,0,0,0,1,0,0,0,1
72,2.01,88.9,0.049907539674539134,2018,1,22,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,22.00440583153883,2,0,0,1,0,0,0,0,1,0
74,2.06,90.7,0.5478238093636596,2011,2,38,59.0,16.0,2.850071428571429,12.0,35.0,21.373362239607882,1,0,0,1,0,0,0,0,1,0
74,2.03,99.3,0.03561818484219205,2016,2,33,583.257281553398,198.99757281553397,0.015,7.0,27.0,24.096677910165262,1,0,0,0,1,0,0,0,0,1
71,2.06,102.1,0.02988898157104313,2018,2,49,583.257281553398,198.99757281553397,2.850071428571429,5.0,26.0,24.05976058063908,3,0,0,1,0,0,0,0,0,1
71,2.06,90.7,0.033636529785966034,2017,0,0,583.257281553398,198.99757281553397,2.850071428571429,6.0,30.0,21.373362239607882,6,0,0,0,1,0,0,0,0,1
85,1.85,79.4,0.8409287046330927,2005,1,4,829.0,178.5,6.4,18.0,38.0,23.199415631848066,6,0,0,0,0,0,1,0,1,0
88,1.85,79.4,0.9033007087582624,2005,1,4,829.0,178.5,6.4,18.0,38.0,23.199415631848066,6,0,0,0,0,0,1,0,1,0
74,2.08,98.0,0.03488570523526663,2015,0,0,583.257281553398,198.99757281553397,2.850071428571429,8.0,28.0,22.65162721893491,2,0,0,1,0,0,0,0,1,0
72,2.03,104.0,0.05955592540949168,2019,1,16,583.257281553398,198.99757281553397,2.850071428571429,4.0,25.0,25.237205464825653,1,0,0,0,1,0,0,0,1,0
87,1.91,89.4,0.60149525378493,2013,1,10,583.257281553398,198.99757281553397,0.161,10.0,32.0,24.505907184561828,6,0,0,0,0,0,1,0,1,0
73,1.98,105.2,0.18980919843241448,2005,2,34,583.257281553398,198.99757281553397,2.850071428571429,18.0,36.0,26.83399653096623,1,0,0,0,0,0,0,1,1,0
85,2.08,95.7,0.36838390861894327,2014,1,25,120.0,45.5,0.025,9.0,29.0,22.1200073964497,1,1,0,0,0,0,0,0,0,1
76,1.93,83.9,0.11495755414394701,2019,1,7,583.257281553398,198.99757281553397,2.850071428571429,4.0,23.0,22.52409460656662,2,0,0,0,0,0,1,0,1,0
77,2.13,104.3,0.3153642107625717,2013,1,4,90.0,29.0,2.850071428571429,10.0,31.0,22.989265798232275,5,0,1,0,0,0,0,0,1,0
77,1.85,86.2,0.10310212996594036,2018,1,8,583.257281553398,198.99757281553397,2.850071428571429,5.0,24.0,25.18626734842951,6,0,0,0,0,0,1,0,1,0
74,1.91,83.9,0.2613109025512385,2011,1,29,48.5,15.0,2.850071428571429,12.0,32.0,22.998273073654783,3,0,0,0,0,0,1,0,0,1
72,1.96,90.7,0.2779226224961004,2008,1,22,2.0,1.0,2.850071428571429,15.0,38.0,23.60995418575594,6,0,0,0,0,0,0,1,1,0
72,2.08,122.5,0.17726500682272925,2014,0,0,583.257281553398,198.99757281553397,2.850071428571429,9.0,31.0,28.314534023668635,2,0,0,1,0,0,0,0,0,1
92,1.88,88.5,0.6505946320923989,2012,1,6,186.5,43.0,1.34,11.0,33.0,25.039610683567226,6,0,0,0,0,0,1,0,1,0
94,1.88,88.5,0.6904938985981621,2012,1,6,186.5,43.0,1.34,11.0,33.0,25.039610683567226,6,0,0,0,0,0,1,0,1,0
94,1.88,88.5,0.8592624087582144,2012,1,6,186.5,43.0,1.34,11.0,33.0,25.039610683567226,6,0,0,0,0,0,1,0,1,0
75,1.96,91.6,0.03429885998909361,2017,2,44,583.257281553398,198.99757281553397,2.850071428571429,6.0,29.0,23.844231570179094,1,0,0,0,0,0,1,0,1,0
87,1.93,87.5,0.5955483205843498,2015,1,2,0.0,232.0,2.850071428571429,8.0,27.0,23.49056350506054,6,0,0,0,0,0,1,0,1,0
71,2.08,106.1,0.018550012698179175,2019,2,38,583.257281553398,198.99757281553397,2.850071428571429,4.0,25.0,24.523853550295854,2,0,0,1,0,0,0,0,1,0
76,2.03,97.5,0.10824175461327451,2013,0,0,583.257281553398,198.99757281553397,2.850071428571429,10.0,31.0,23.65988012327405,4,1,0,0,0,0,0,0,0,1
83,2.08,102.1,0.49344155555340774,2008,1,6,29.0,6.0,0.711,15.0,35.0,23.599297337278102,6,0,0,1,0,0,0,0,0,1
77,1.98,94.8,0.31891185067028766,2009,2,46,0.0,15.0,2.850071428571429,14.0,36.0,24.181205999387817,6,0,0,0,0,0,1,0,1,0
73,1.98,99.8,0.07631590375764202,2016,0,0,583.257281553398,198.99757281553397,2.850071428571429,7.0,30.0,25.456586062646668,6,0,0,1,0,0,0,0,1,0
77,2.08,98.0,0.07504728852655332,2014,1,12,583.257281553398,198.99757281553397,2.850071428571429,9.0,29.0,22.65162721893491,1,0,0,1,0,0,0,0,0,1
70,2.03,90.7,0.0488684188302517,2019,1,23,583.257281553398,198.99757281553397,2.850071428571429,4.0,23.0,22.00975515057391,6,0,0,1,0,0,0,0,1,0
77,1.85,79.4,0.1388757018603106,2019,1,5,583.257281553398,198.99757281553397,2.850071428571429,4.0,23.0,23.199415631848066,6,0,0,0,0,0,1,0,1,0
72,1.98,102.1,0.15744255216476294,2012,2,46,583.257281553398,198.99757281553397,2.850071428571429,11.0,33.0,26.04326089174574,3,0,0,1,0,0,0,0,1,0
73,1.96,95.3,0.055366532165535276,2016,0,0,0.0,3.0,2.850071428571429,7.0,30.0,24.80737192836318,6,0,0,0,0,0,1,0,1,0
76,2.08,95.7,0.15197579688126422,2011,2,42,583.257281553398,198.99757281553397,2.850071428571429,12.0,31.0,22.1200073964497,6,0,0,1,0,0,0,0,0,1
86,1.91,77.6,0.13869726696785717,2017,1,5,583.257281553398,198.99757281553397,2.850071428571429,6.0,26.0,21.27134672843398,3,0,0,0,0,0,1,0,1,0
82,2.11,113.4,0.2080192226860023,2018,1,1,583.257281553398,198.99757281553397,2.850071428571429,5.0,25.0,25.471125985489998,1,1,0,0,0,0,0,0,0,1
73,1.96,93.9,0.05584795650282131,2016,1,21,583.257281553398,198.99757281553397,2.850071428571429,7.0,29.0,24.44294044148272,1,0,0,1,0,0,0,0,1,0
77,2.01,102.1,0.1534706264459841,2019,1,4,583.257281553398,198.99757281553397,2.850071428571429,4.0,26.0,25.271651691789813,1,0,0,1,0,0,0,0,1,0
81,2.11,120.2,0.21498776124694152,2008,2,35,189.5,27.0,0.984,15.0,35.0,26.998495092203683,6,1,0,0,0,0,0,0,1,0
72,1.88,86.2,0.02988898157104313,2018,2,46,583.257281553398,198.99757281553397,2.850071428571429,5.0,25.0,24.38886373924853,2,0,0,0,0,0,1,0,1,0
78,1.93,77.1,0.049676077255835796,2016,1,29,583.257281553398,198.99757281553397,2.850071428571429,7.0,27.0,20.69854224274477,3,0,0,0,0,0,1,0,1,0
76,1.96,82.1,0.20606789718808913,2015,1,20,11.5,14.0,2.850071428571429,8.0,31.0,21.371303623490213,6,0,0,0,0,0,1,0,1,0
87,1.98,99.8,0.6054972685247891,2009,1,9,0.0,186.0,0.58,14.0,34.0,25.456586062646668,3,0,0,0,0,0,0,1,1,0
86,2.08,122.5,0.07544122291228224,2010,1,5,102.0,91.5,0.826,13.0,33.0,28.314534023668635,1,1,0,0,0,0,0,0,1,0
77,1.98,96.2,0.15939435873714103,2009,1,27,29.5,8.0,2.850071428571429,14.0,37.0,24.538312417100297,6,0,0,1,0,0,0,0,1,0
78,1.85,78.0,0.33784547652022046,2013,1,17,583.257281553398,198.99757281553397,2.850071428571429,10.0,30.0,22.79035792549306,6,0,0,0,0,0,1,0,0,1
77,1.88,88.5,0.09651315915784503,2017,1,9,583.257281553398,198.99757281553397,2.850071428571429,6.0,26.0,25.039610683567226,1,0,0,0,0,0,1,0,1,0
74,1.93,95.3,0.07276399978080497,2016,1,14,23.0,24.0,2.850071428571429,7.0,30.0,25.584579451797364,2,0,0,0,0,0,1,0,1,0
70,1.93,108.9,0.02988898157104313,2014,0,0,583.257281553398,198.99757281553397,2.850071428571429,9.0,32.0,29.235684179441062,6,0,0,0,0,0,1,0,1,0
80,2.06,111.6,0.3848595719583094,2010,1,3,25.0,6.5,2.850071428571429,13.0,32.0,26.298425864831746,3,0,0,1,0,0,0,0,1,0
74,1.98,88.5,0.03488570523526663,2016,0,0,0.0,74.0,2.850071428571429,7.0,26.0,22.574227119681666,6,0,0,1,0,0,0,0,1,0
80,1.88,86.2,0.1589092607403045,2008,1,1,1864.0,2504.5,2.850071428571429,15.0,35.0,24.38886373924853,2,0,0,0,0,0,1,0,1,0
78,1.93,90.7,0.04150535547401295,2017,1,29,583.257281553398,198.99757281553397,2.850071428571429,6.0,29.0,24.34964697038847,3,0,0,0,0,0,1,0,1,0
86,1.96,93.4,0.5955483205843498,2015,1,13,1170.5,335.5,2.850071428571429,8.0,27.0,24.31278633902541,1,0,0,0,0,0,1,0,1,0
69,1.85,83.9,0.02988898157104313,2018,2,34,583.257281553398,198.99757281553397,2.850071428571429,5.0,28.0,24.514243973703433,5,0,0,0,0,0,1,0,1,0
76,2.13,108.4,0.2904669453079124,2013,0,0,583.257281553398,198.99757281553397,0.015,10.0,34.0,23.892966563071706,1,1,0,0,0,0,0,0,1,0
71,2.08,108.9,0.00437340422679897,2016,2,31,583.257281553398,198.99757281553397,2.850071428571429,7.0,27.0,25.17104289940828,1,0,0,0,1,0,0,0,1,0
74,2.01,102.1,0.03429885998909361,2017,2,45,583.257281553398,198.99757281553397,2.850071428571429,6.0,27.0,25.271651691789813,2,0,0,0,0,0,0,1,0,1
76,1.91,95.3,0.27170615639302265,2012,1,4,0.0,7.0,2.850071428571429,11.0,32.0,26.12318741262575,6,0,0,0,0,0,1,0,1,0
76,1.8,81.6,0.15744255216476294,2008,1,9,583.257281553398,198.99757281553397,2.850071428571429,15.0,36.0,25.185185185185183,4,0,0,0,0,0,1,0,1,0
72,2.08,106.1,0.06365752256359508,2017,1,17,583.257281553398,198.99757281553397,2.850071428571429,6.0,27.0,24.523853550295854,6,0,0,1,0,0,0,0,1,0
81,2.11,104.8,0.07608748085487632,2016,1,11,0.0,82.0,2.850071428571429,7.0,27.0,23.53945329170504,2,0,0,0,1,0,0,0,0,1
88,1.85,95.7,0.07840988970143338,2017,1,13,583.257281553398,198.99757281553397,2.850071428571429,6.0,27.0,27.962016070124175,6,0,0,0,0,0,1,0,1,0
88,1.85,95.7,0.11251677911199164,2017,1,13,583.257281553398,198.99757281553397,2.850071428571429,6.0,27.0,27.962016070124175,6,0,0,0,0,0,1,0,1,0
72,1.93,93.0,0.062447838954462494,2018,1,17,583.257281553398,198.99757281553397,2.850071428571429,5.0,26.0,24.967113211092915,6,0,0,0,0,0,1,0,1,0
73,2.01,96.6,0.08637473347927965,2016,0,0,583.257281553398,198.99757281553397,2.850071428571429,7.0,30.0,23.910299250018568,6,0,0,1,0,0,0,0,1,0
74,2.01,98.9,0.1592647966369221,2014,1,11,583.257281553398,198.99757281553397,2.850071428571429,9.0,31.0,24.479592089304727,2,0,0,1,0,0,0,0,1,0
86,1.98,104.3,0.40430219645917825,2012,2,35,627.0,168.5,0.911,11.0,33.0,26.604428119579634,6,0,0,1,0,0,0,0,1,0
67,2.01,97.5,0.02988898157104313,2018,0,0,583.257281553398,198.99757281553397,2.850071428571429,5.0,29.0,24.1330660132175,6,0,0,1,0,0,0,0,1,0
73,1.98,99.8,0.03429885998909361,2017,2,40,583.257281553398,198.99757281553397,2.850071428571429,6.0,28.0,25.456586062646668,5,0,0,0,0,0,1,0,1,0
77,2.08,106.1,0.22324861888987868,2014,2,45,0.0,10.0,2.850071428571429,9.0,32.0,24.523853550295854,6,0,0,0,1,0,0,0,0,1
71,2.06,88.5,0.04070764654304482,2018,1,29,583.257281553398,198.99757281553397,2.850071428571429,5.0,24.0,20.854934489584316,6,0,0,1,0,0,0,0,0,1
77,2.06,97.5,0.1031467386890537,2010,1,13,583.257281553398,198.99757281553397,2.850071428571429,13.0,34.0,22.975775285135263,6,0,0,1,0,0,0,0,1,0
71,1.93,84.4,0.04264069121128996,2017,2,52,583.257281553398,198.99757281553397,2.850071428571429,6.0,28.0,22.65832639802411,2,0,0,0,0,0,1,0,1,0
76,1.91,83.9,0.17384281801525905,2014,1,10,19.0,8.0,0.05,9.0,29.0,22.998273073654783,1,0,0,0,0,0,1,0,1,0
71,1.91,86.2,0.02988898157104313,2018,2,31,583.257281553398,198.99757281553397,2.850071428571429,5.0,26.0,23.628738247306817,1,0,0,0,0,0,1,0,0,1
76,1.91,86.2,0.03689283537111374,2015,1,7,69.0,21.0,2.850071428571429,8.0,27.0,23.628738247306817,6,0,0,0,0,0,1,0,0,1
80,2.08,118.8,0.1031467386890537,2011,1,3,147.0,195.0,0.489,12.0,31.0,27.459319526627215,4,1,0,0,0,0,0,0,0,1
85,1.85,88.5,0.3405788541619698,2010,1,18,9.0,30.5,0.199,13.0,34.0,25.858290723155587,6,0,0,0,0,0,1,0,1,0
78,1.91,97.5,0.3063073279492937,2008,1,7,55.0,26.0,2.850071428571429,15.0,35.0,26.72624105698857,6,0,0,0,0,0,1,0,1,0
71,1.98,115.7,0.018550012698179175,2019,2,41,583.257281553398,198.99757281553397,2.850071428571429,4.0,27.0,29.51229466380982,6,0,0,1,0,0,0,0,1,0
76,2.06,106.6,0.15197579688126422,2005,2,36,583.257281553398,198.99757281553397,2.850071428571429,18.0,36.0,25.120180978414552,6,0,0,1,0,0,0,0,0,1
74,1.91,86.6,0.188382812643844,2011,2,55,0.0,10.0,2.850071428571429,12.0,34.0,23.73838436446369,3,0,0,0,0,0,1,0,1,0
78,2.01,86.2,0.37392606139131196,2012,1,20,21.0,10.0,2.850071428571429,11.0,31.0,21.336105541942036,4,0,0,0,0,0,1,0,0,1
73,1.98,93.0,0.40577660222615897,2010,1,2,17.0,13.0,2.850071428571429,13.0,35.0,23.72206917661463,6,0,0,0,0,0,0,1,1,0
71,1.91,93.0,0.03429885998909361,2017,2,31,583.257281553398,198.99757281553397,2.850071428571429,6.0,25.0,25.492722238973712,3,0,0,0,0,0,1,0,1,0
76,2.13,104.8,0.1031467386890537,2015,1,9,112.5,29.0,2.850071428571429,8.0,30.0,23.099473208578548,1,0,0,0,1,0,0,0,1,0
71,1.8,86.2,0.0006465640808899597,2017,2,34,583.257281553398,198.99757281553397,2.850071428571429,6.0,29.0,26.604938271604937,6,0,0,0,0,0,1,0,1,0
73,1.93,86.2,0.10508853016575245,2017,1,8,583.257281553398,198.99757281553397,2.850071428571429,6.0,25.0,23.14156084727107,1,0,0,0,0,0,1,0,0,1
79,1.85,89.4,0.20327917411584964,2006,0,0,0.0,17.5,2.850071428571429,17.0,29.0,26.12125639152666,6,0,0,0,0,0,1,0,1,0
73,2.01,83.9,0.034343556180291494,2016,1,26,583.257281553398,198.99757281553397,2.850071428571429,7.0,26.0,20.766812702655884,6,0,0,1,0,0,0,0,0,1
73,1.96,88.5,0.1031467386890537,2009,0,0,2.0,1.0,2.850071428571429,14.0,37.0,23.037276134943774,6,0,0,0,0,0,0,1,1,0
69,1.98,102.1,0.030115064702547503,2018,0,0,583.257281553398,198.99757281553397,2.850071428571429,5.0,29.0,26.04326089174574,4,0,0,1,0,0,0,0,1,0
79,1.93,93.0,0.38899869292067873,2014,1,19,6.0,2.5,2.850071428571429,9.0,29.0,24.967113211092915,6,0,0,0,0,0,1,0,1,0
71,1.96,94.8,0.02988898157104313,2018,2,37,583.257281553398,198.99757281553397,2.850071428571429,5.0,24.0,24.677217825905874,6,0,0,0,0,0,1,0,1,0
75,1.91,81.6,0.2205050074822386,2008,1,26,33.5,3.0,0.244,15.0,37.0,22.36780790000274,6,0,0,0,0,0,1,0,1,0
