full_name,rating,Pos,Experience,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary,z_score_twitter RETWEET_count,z_score_follower_count_millon,z_score_twitter_followers_count
Aaron Gordon,81,PF,9,26,DEN,75,75,31.7,5.8,11.1,0.52,1.2,3.5,0.335,4.6,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2,15,19863636,-0.43679013,-2.63759E-06,-0.51919831
Aaron Holiday,73,PG,5,25,TOT,63,15,16.2,2.4,5.4,0.447,0.6,1.6,0.379,1.8,3.7,0.477,0.504,0.9,1.1,0.868,0.4,1.6,1.9,2.4,0.7,0.1,1.1,1.5,6.3,2239200,5.24081E-07,-2.63759E-06,-0.360138997
Abdel Nader,70,SF,7,28,PHO,14,0,10.4,0.9,2.5,0.343,0.3,1,0.286,0.6,1.5,0.381,0.4,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4,1618520,5.24081E-07,-2.63759E-06,0.639861003
Admiral Schofield,71,SF,4,24,ORL,38,1,12.3,1.4,3.4,0.419,0.7,2.1,0.329,0.7,1.3,0.56,0.519,0.3,0.4,0.8,0.4,1.9,2.3,0.7,0.1,0.1,0.6,1.5,3.8,1000000,5.24081E-07,-2.63759E-06,0.637643023
Al Horford,85,C,16,35,BOS,69,69,29.1,3.9,8.2,0.467,1.3,3.8,0.336,2.6,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2,28000000,-0.251396546,-0.733296303,0.146586748
Alec Burks,73,SG,12,30,NYK,81,44,28.6,3.5,9,0.391,1.9,4.8,0.404,1.6,4.2,0.378,0.499,2.7,3.3,0.822,0.6,4.3,4.9,3,1,0.3,1.1,2.7,11.7,2320044,-0.440160923,-2.63759E-06,0.010973002
Alex Caruso,73,SG,7,27,CHI,41,18,28,2.5,6.2,0.398,1,3.1,0.333,1.5,3.2,0.462,0.48,1.4,1.8,0.795,0.8,2.8,3.6,4,1.7,0.4,1.4,2.6,7.4,2750000,5.24081E-07,-2.63759E-06,0.639861003
Alex Len,77,C,10,28,SAC,39,10,15.9,2.4,4.5,0.534,0.2,0.5,0.286,2.3,4,0.568,0.551,1.1,1.6,0.651,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,6,4160000,5.24081E-07,-2.63759E-06,0.011521652
Alfonzo McKinnie,72,SF,8,29,CHI,17,3,12.1,1.4,3.6,0.393,0.5,1.6,0.333,0.9,2,0.441,0.467,0.1,0.5,0.25,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5,2391985,5.24081E-07,-2.63759E-06,0.639861003
Alize Johnson,70,PF,5,25,TOT,23,0,7.3,0.7,1.7,0.436,0,0.2,0,0.7,1.5,0.486,0.436,0.3,0.5,0.583,1.2,1.4,2.7,0.4,0.2,0,0.5,0.8,1.8,1416852,5.24081E-07,-2.63759E-06,0.639861003
Andre Drummond,86,C,11,28,TOT,73,36,19.7,3.4,5.9,0.57,0,0,0,3.4,5.9,0.574,0.57,1.2,2.2,0.524,3.1,6.2,9.3,1.8,1.1,0.9,1.6,2.6,7.9,27093018,-0.406452998,-0.332292529,0
Andre Iguodala,78,SF,19,38,GSW,31,0,19.5,1.5,3.9,0.38,0.5,2.4,0.23,0.9,1.5,0.617,0.45,0.5,0.6,0.75,0.7,2.5,3.2,3.7,0.9,0.7,0.9,1.1,4,17185185,-0.345778735,-2.63759E-06,0.329738719
Andrew Wiggins,79,SF,9,26,GSW,73,73,31.9,6.5,14,0.466,2.2,5.5,0.393,4.4,8.5,0.513,0.543,2,3.2,0.634,1.2,3.3,4.5,2.2,1,0.7,1.5,2.2,17.2,27504630,-0.307014622,-2.63759E-06,0.199708642
Anfernee Simons,72,SG,5,22,POR,57,30,29.5,6.2,14,0.443,3.1,7.8,0.405,3.1,6.2,0.49,0.555,1.8,2,0.888,0.5,2.2,2.6,3.9,0.5,0.1,2,1.9,17.3,2149560,5.24081E-07,-2.63759E-06,0.639861003
Anthony Davis,94,C,11,28,LAL,40,40,35.1,9.3,17.4,0.532,0.3,1.8,0.186,8.9,15.6,0.571,0.542,4.4,6.1,0.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4,23.2,27093019,-0.140160396,-0.332292529,0.403806485
Austin Rivers,76,SG,11,29,DEN,67,18,22.1,2.2,5.2,0.417,1.2,3.4,0.342,1,1.8,0.563,0.53,0.5,0.7,0.727,0.3,1.4,1.7,1.3,0.8,0.1,0.8,1.8,6,2174310,-0.413194583,-2.63759E-06,0.082846167
Avery Bradley,76,SG,13,31,LAL,62,45,22.7,2.4,5.6,0.423,1.3,3.4,0.39,1.1,2.3,0.471,0.54,0.3,0.3,0.889,0.5,1.7,2.2,0.8,0.9,0.1,0.6,1.9,6.4,6767000,5.24081E-07,-2.63759E-06,0.639861003
Bam Adebayo,79,C,6,24,MIA,56,56,32.6,7.3,13,0.557,0,0.1,0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,3454080,5.24081E-07,-2.63759E-06,0.639861003
Ben McLemore,71,SG,10,28,POR,64,6,20.1,3.4,8.4,0.401,2.4,6.5,0.362,1,1.9,0.533,0.541,1.1,1.4,0.818,0.2,1.4,1.6,0.9,0.6,0.2,0.9,1.6,10.2,2028594,5.24081E-07,-2.63759E-06,0.032919007
Bismack Biyombo,75,C,12,29,PHO,36,3,14.1,2.4,4,0.593,0,0,0,2.4,4,0.593,0.593,1.1,2,0.535,1.8,2.9,4.6,0.6,0.3,0.7,0.7,1.9,5.8,17000000,5.24081E-07,-2.63759E-06,0.639861003
Blake Griffin,88,PF,14,32,BRK,56,24,17.1,2.4,5.6,0.425,0.7,2.6,0.262,1.7,3,0.565,0.486,1,1.4,0.724,1.1,3,4.1,1.9,0.5,0.3,0.6,1.7,6.4,34449964,-0.158699755,0.899332301,0.295173762
Bobby Portis,78,C,8,26,MIL,72,59,28.2,5.8,12.1,0.479,1.8,4.7,0.393,3.9,7.4,0.533,0.555,1.2,1.6,0.752,2.5,6.6,9.1,1.2,0.7,0.7,1.3,2.4,14.6,15000000,-0.244654962,-2.63759E-06,0.040600109
Brad Wanamaker,73,PG,12,32,TOT,23,2,13.9,1.2,3.3,0.364,0.2,0.7,0.235,1,2.6,0.4,0.39,1,1.1,0.92,0.3,1.4,1.7,2.4,0.3,0.3,1,2,3.6,1445697,5.24081E-07,-2.63759E-06,0.639861003
Bradley Beal,87,SG,11,28,WAS,40,40,36,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,0.492,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,27093018,-0.354205716,-0.723758468,0.060900163
Brandon Clarke,73,PF,4,25,MEM,64,1,19.5,4.5,7,0.644,0.1,0.3,0.227,4.4,6.6,0.666,0.65,1.3,2,0.654,2.1,3.2,5.3,1.3,0.6,1.1,0.5,1.9,10.4,2478840,5.24081E-07,-2.63759E-06,0.639861003
Brandon Goodwin,68,PG,5,26,CLE,36,5,13.9,1.8,4.3,0.416,0.5,1.5,0.345,1.3,2.8,0.455,0.477,0.7,1.1,0.632,0.4,1.5,1.9,2.5,0.7,0,1,1.1,4.8,522738,5.24081E-07,-2.63759E-06,0.639861003
Brandon Ingram,81,SF,7,24,NOP,55,55,34,8.2,17.9,0.461,1.3,4.1,0.327,6.9,13.8,0.501,0.498,4.8,5.9,0.826,0.6,5.2,5.8,5.6,0.6,0.5,2.7,2.2,22.7,7265485,-0.153643566,-2.63759E-06,0.212876245
Brandon Knight,72,PG,12,30,DAL,5,0,13,2,5,0.4,0.8,3.4,0.235,1.2,1.6,0.75,0.48,1.6,1.6,1,0,1.6,1.6,1.6,0.2,0,0.8,1,6.4,15643750,5.24081E-07,-2.63759E-06,0.639861003
Brook Lopez,79,C,15,33,MIL,13,11,22.9,4.7,10.1,0.466,1.5,4.1,0.358,3.2,6,0.538,0.538,1.5,1.8,0.87,1.5,2.6,4.1,0.5,0.6,1.2,0.9,2.6,12.4,12093024,5.24081E-07,-0.838212492,0.639861003
Bruce Brown,73,SF,5,25,BRK,72,45,24.6,3.6,7,0.506,0.5,1.3,0.404,3,5.7,0.529,0.543,1.3,1.8,0.758,1.4,3.4,4.8,2.1,1.1,0.7,0.8,2.4,9,1416852,5.24081E-07,-2.63759E-06,0.639861003
Bruno Fernando,71,C,4,23,TOT,30,0,5.1,1.2,1.8,0.655,0,0.1,0.5,1.2,1.8,0.66,0.664,0.5,0.8,0.625,0.6,1.2,1.8,0.2,0,0.4,0.5,0.8,2.9,1400000,5.24081E-07,-2.63759E-06,0.639861003
Bryn Forbes,75,SG,7,28,TOT,75,2,17.1,3.1,7.2,0.429,1.6,3.9,0.414,1.5,3.3,0.447,0.542,1.1,1.2,0.908,0.1,1.1,1.2,1,0.3,0.1,0.7,1.3,8.8,2875000,5.24081E-07,-2.63759E-06,0.639861003
Buddy Hield,84,SG,7,29,TOT,81,32,30.9,5.5,13.6,0.406,3.2,8.8,0.366,2.3,4.7,0.482,0.526,1.4,1.6,0.874,0.8,3.5,4.4,2.8,0.9,0.3,1.9,2.3,15.6,4861207,0.631751071,-2.63759E-06,0.561817718
Cameron Johnson,72,PF,4,25,PHO,66,16,26.2,4.2,9.2,0.46,2.5,5.9,0.425,1.7,3.3,0.523,0.596,1.5,1.7,0.86,0.6,3.5,4.1,1.5,0.9,0.2,0.7,1.7,12.5,4033440,5.24081E-07,-2.63759E-06,0.639861003
Cameron Payne,72,PG,8,27,PHO,58,12,22,4.1,10.1,0.409,1.2,3.6,0.336,2.9,6.5,0.449,0.469,1.3,1.5,0.843,0.4,2.6,3,4.9,0.7,0.3,1.8,2.1,10.8,346288,-0.419936168,-2.63759E-06,0.042246059
Caris LeVert,78,SG,7,27,TOT,58,49,30.7,6.5,14.7,0.444,1.4,4.4,0.32,5.1,10.3,0.497,0.492,2.5,3.3,0.756,0.7,2.9,3.7,4.3,0.9,0.4,1.9,2.3,17,2625717,-0.396340621,-2.63759E-06,0
Carsen Edwards,71,SG,4,23,DET,4,0,19.8,2.3,7.5,0.3,1,4,0.25,1.3,3.5,0.357,0.367,0.3,0.3,1,0.5,1,1.5,3.5,0.5,0,1.3,1,5.8,1228026,5.24081E-07,-2.63759E-06,0.639861003
Cedi Osman,75,SF,8,26,CLE,66,3,22.2,3.7,8.7,0.432,1.9,5.4,0.357,1.8,3.2,0.559,0.544,1.3,2,0.664,0.4,1.8,2.2,2,0.8,0.2,1,1.9,10.7,2907143,5.24081E-07,-2.63759E-06,0.639861003
Chandler Hutchison,72,SF,5,25,PHO,6,0,3.7,0.2,0.3,0.5,0,0,0,0.2,0.3,0.5,0.5,0.3,0.3,1,0,0.8,0.8,0.3,0,0,0.7,0.2,0.7,2332320,5.24081E-07,-2.63759E-06,0.639861003
Cheick Diallo,74,C,7,25,DET,3,0,10.3,1,2.7,0.375,0,0,0,1,2.7,0.375,0.375,1.7,2,0.833,1.3,2.7,4,0,0.3,0,0.3,2,3.7,1678854,5.24081E-07,-0.831992165,0.639861003
Chimezie Metu,71,C,5,24,SAC,60,20,21.3,3.4,7.5,0.452,1,3.1,0.306,2.4,4.4,0.555,0.516,1.2,1.5,0.78,0.6,5,5.6,1,0.9,0.5,1,1.6,8.9,1416852,5.24081E-07,-2.63759E-06,0.639861003
Chris Boucher,71,PF,6,29,TOR,80,9,21.1,3.4,7.2,0.464,0.9,2.9,0.297,2.5,4.4,0.575,0.523,1.9,2.4,0.777,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.4,1588231,5.24081E-07,-2.63759E-06,0.639861003
Chris Paul,85,PG,18,36,PHO,65,65,32.9,5.6,11.3,0.493,1,3.1,0.317,4.6,8.3,0.559,0.536,2.6,3.1,0.837,0.3,4,4.4,10.8,1.9,0.3,2.4,2.1,14.7,38506482,0.11096364,1.815793875,0.909661892
Christian Wood,74,C,8,26,HOU,68,67,30.8,6.5,12.9,0.501,1.9,4.9,0.39,4.5,8,0.57,0.576,3,4.9,0.623,1.6,8.5,10.1,2.3,0.8,1,1.9,2.5,17.9,1645357,5.24081E-07,-2.63759E-06,0.639861003
Chuma Okeke,72,PF,4,23,ORL,70,20,25,3.1,8.2,0.376,1.7,5.3,0.318,1.4,2.9,0.48,0.478,0.8,0.9,0.846,0.7,4.3,5,1.7,1.4,0.6,0.8,1.4,8.6,2773550,5.24081E-07,-2.63759E-06,0.639861003
CJ McCollum,87,SG,10,30,TOT,62,62,34.6,8.6,18.8,0.46,2.9,7.6,0.388,5.7,11.2,0.509,0.539,1.9,2.7,0.682,0.9,3.5,4.3,5.1,1.1,0.4,2,2,22.1,27556959,5.24081E-07,-0.771447645,0.639861003
Clint Capela,85,C,9,27,ATL,74,73,27.6,5,8.2,0.613,0,0,0,5,8.1,0.614,0.613,1.1,2.3,0.473,3.8,8.1,11.9,1.2,0.7,1.3,0.6,2.2,11.1,16896552,-0.337351754,-0.82784528,0.131676028
Coby White,76,PG,4,21,CHI,61,17,27.5,4.6,10.6,0.433,2.2,5.8,0.385,2.3,4.8,0.491,0.539,1.3,1.5,0.857,0.3,2.7,3,2.9,0.5,0.2,1.1,2.2,12.7,5307120,5.24081E-07,-2.63759E-06,0.639861003
Cody Zeller,77,C,10,29,POR,27,0,13.1,1.9,3.3,0.567,0,0.1,0,1.9,3.2,0.593,0.567,1.4,1.8,0.776,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,5.2,14471910,-0.392969829,-2.63759E-06,0.098757021
Collin Sexton,77,SG,5,23,CLE,11,11,28.7,6.2,13.7,0.45,1,4.1,0.244,5.2,9.6,0.538,0.487,2.6,3.5,0.744,1.2,2.1,3.3,2.1,0.9,0,2.8,2.3,16,4764960,5.24081E-07,-2.63759E-06,0.639861003
Cory Joseph,74,PG,12,30,DET,65,39,24.6,2.7,6.2,0.445,1,2.4,0.414,1.7,3.7,0.465,0.526,1.5,1.7,0.885,0.4,2.2,2.7,3.6,0.6,0.3,1.3,2.3,8,12000000,-0.440160923,-2.63759E-06,0.053219061
Damian Lillard,92,PG,11,31,POR,29,29,36.4,7.7,19,0.402,3.2,9.8,0.324,4.5,9.2,0.485,0.486,5.5,6.2,0.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24,29802321,-0.345778735,-0.282529909,0.204646493
Damyean Dotson,75,SG,6,27,NYK,2,0,10.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,0,0,0,1,1,0.5,0,0,0,0,2,1618520,5.24081E-07,-2.63759E-06,0.639861003
D'Angelo Russell,87,PG,8,25,MIN,65,65,32,6.2,15,0.411,2.7,8,0.34,3.5,7,0.492,0.502,3,3.7,0.825,0.4,2.9,3.3,7.1,1,0.3,2.5,2,18.1,27285000,0.291301035,-2.63759E-06,0
Daniel Gafford,71,C,4,23,WAS,72,53,20.1,4,5.7,0.693,0,0,0,4,5.7,0.695,0.693,1.5,2.1,0.699,2.2,3.5,5.7,0.9,0.4,1.4,0.9,2.4,9.4,898310,5.24081E-07,-2.63759E-06,0.639861003
Daniel Theis,76,C,10,29,TOT,47,27,20.8,3.2,6.2,0.519,0.7,2.3,0.308,2.5,3.9,0.641,0.576,1,1.5,0.681,1.3,3.6,4.9,0.9,0.4,0.7,1,2.4,8.2,5000000,5.24081E-07,-2.63759E-06,0.639861003
Danilo Gallinari,83,PF,15,33,ATL,66,18,25.3,3.9,9,0.434,1.7,4.5,0.381,2.2,4.6,0.485,0.528,2.1,2.4,0.904,0.5,4.1,4.7,1.5,0.4,0.2,0.6,1.4,11.7,22615559,-0.470498055,-0.543368972,0.031821707
Danny Green,77,SF,14,34,PHI,62,28,21.8,2,5.2,0.394,1.7,4.4,0.38,0.4,0.8,0.469,0.555,0.2,0.2,0.786,0.5,2,2.5,1,1,0.6,0.7,1.7,5.9,14634147,-0.440160923,-2.63759E-06,0
Darius Bazley,70,PF,4,21,OKC,69,53,27.9,4,9.4,0.422,1.2,3.9,0.297,2.8,5.5,0.511,0.484,1.7,2.5,0.688,1,5.3,6.3,1.4,0.8,1,1.3,1,10.8,2284800,5.24081E-07,-2.63759E-06,0.639861003
Darius Garland,77,PG,4,22,CLE,68,68,35.7,8,17.3,0.462,2.6,6.7,0.383,5.4,10.6,0.512,0.536,3.2,3.5,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,1.7,21.7,6400920,5.24081E-07,-2.63759E-06,0.639861003
David Nwaba,73,SF,7,29,HOU,46,4,13.2,1.8,3.8,0.483,0.3,1.1,0.306,1.5,2.8,0.551,0.526,1,1.5,0.716,0.9,2.4,3.3,0.8,0.6,0.4,0.5,1.2,5.1,2581965,-0.480610432,-2.63759E-06,0
De'Aaron Fox,86,PG,6,24,SAC,59,59,35.3,8.7,18.5,0.473,1.3,4.2,0.297,7.5,14.3,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2,6392760,5.24081E-07,-2.63759E-06,0.639861003
Deandre Ayton,82,C,5,23,PHO,58,58,29.5,7.6,12,0.634,0.1,0.3,0.368,7.5,11.7,0.642,0.639,1.8,2.4,0.746,2.6,7.7,10.2,1.4,0.7,0.7,1.6,2.4,17.2,9562920,5.24081E-07,-2.63759E-06,0.639861003
De'Andre Hunter,77,SF,4,24,ATL,53,52,29.8,4.8,10.8,0.442,1.4,3.7,0.379,3.4,7.2,0.474,0.506,2.4,3.1,0.765,0.5,2.8,3.3,1.3,0.7,0.4,1.3,2.9,13.4,7068360,5.24081E-07,-2.63759E-06,0.639861003
DeAndre Jordan,81,C,15,33,TOT,48,20,13,1.9,3,0.643,0,0,0,1.9,3,0.643,0.643,0.5,0.8,0.55,1.7,3.8,5.5,0.4,0.3,0.7,0.8,1.5,4.3,9881598,-0.399711414,-0.430159013,0.207938394
De'Anthony Melton,72,SG,5,23,MEM,73,15,22.7,3.8,9.5,0.404,1.9,5.1,0.374,1.9,4.4,0.44,0.504,1.2,1.6,0.75,0.9,3.6,4.5,2.7,1.4,0.5,1.5,1.8,10.8,1416852,5.24081E-07,-2.63759E-06,0.639861003
Dejounte Murray,78,PG,7,25,SAS,68,68,34.8,8.4,18.3,0.462,1.4,4.3,0.327,7,13.9,0.504,0.5,2.9,3.6,0.794,1.2,7.1,8.3,9.2,2,0.3,2.6,2,21.1,2321735,5.24081E-07,-2.63759E-06,0.639861003
Delon Wright,76,SG,8,29,ATL,77,8,18.9,1.6,3.5,0.454,0.6,1.5,0.379,1,2,0.51,0.535,0.7,0.8,0.857,0.6,2.2,2.9,2.4,1.2,0.2,0.6,0.7,4.4,9473684,-0.443531715,-2.63759E-06,0.012618953
DeMar DeRozan,87,PF,14,32,CHI,76,76,36.1,10.2,20.2,0.504,0.7,1.9,0.352,9.5,18.3,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9,27739975,0.136244583,-0.597693165,0
DeMarcus Cousins,86,C,13,31,TOT,48,7,15,3.1,6.8,0.46,0.8,2.5,0.303,2.3,4.2,0.554,0.517,2,2.6,0.76,1.5,4.1,5.6,1.5,0.7,0.4,1.8,2.9,9,3500000,-0.182295302,-0.495679796,0.111924624
Denzel Valentine,74,SG,7,28,TOT,24,0,9.3,1,2.8,0.379,0.8,2,0.404,0.3,0.8,0.316,0.523,0,0,0,0.4,1.4,1.8,0.5,0.3,0,0.5,0.8,2.9,3377568,-0.409823791,-2.63759E-06,0.025237905
Derrick Favors,80,C,13,30,OKC,39,18,16.7,2.4,4.7,0.516,0.1,0.4,0.125,2.4,4.3,0.554,0.522,0.4,0.6,0.64,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,5.3,17650000,-0.468812658,-2.63759E-06,0.027432506
Derrick Rose,80,PG,15,33,NYK,26,4,24.5,4.7,10.5,0.445,1.4,3.5,0.402,3.3,7,0.467,0.513,1.2,1.2,0.968,0.8,2.2,3,4,0.8,0.5,1.5,0.6,12,7317074,7.951426842,-2.63759E-06,2.045367631
Derrick White,78,SG,6,27,TOT,75,52,29.3,4.5,10.7,0.421,1.5,4.9,0.312,3,5.7,0.515,0.493,2.7,3.1,0.864,0.5,3,3.5,4.9,0.9,0.8,1.6,2.3,13.2,1948080,5.24081E-07,-2.63759E-06,0.639861003
Devin Booker,86,SG,8,25,PHO,68,68,34.5,9.7,20.9,0.466,2.7,7,0.383,7,13.9,0.508,0.53,4.6,5.3,0.868,0.7,4.4,5,4.8,1.1,0.4,2.4,2.6,26.8,27285000,0.640178052,-2.63759E-06,1.28438992
Dewayne Dedmon,76,C,10,32,MIA,67,15,15.9,2.4,4.3,0.566,0.3,0.7,0.404,2.2,3.6,0.597,0.598,1.1,1.5,0.75,1.6,4.2,5.8,0.7,0.4,0.6,1,2.6,6.3,13333334,5.24081E-07,-0.831992165,0.639861003
Dillon Brooks,74,SF,6,26,MEM,32,31,27.7,7.1,16.4,0.432,1.4,4.7,0.309,5.7,11.8,0.48,0.475,2.8,3.3,0.849,0.9,2.3,3.2,2.8,1.1,0.3,1.6,3.3,18.4,1618520,5.24081E-07,-2.63759E-06,0.639861003
Domantas Sabonis,81,C-PF,7,25,TOT,62,61,34.5,7.1,12.5,0.573,0.6,2,0.312,6.5,10.5,0.623,0.598,4,5.4,0.741,3.2,8.9,12.1,5.2,1,0.4,3.1,3.3,18.9,3529554,-0.21431783,-2.63759E-06,0
Donovan Mitchell,88,SG,6,25,UTA,67,67,33.8,9.2,20.5,0.448,3.5,9.8,0.355,5.7,10.8,0.533,0.533,4,4.7,0.853,0.8,3.4,4.2,5.3,1.5,0.2,3,2.4,25.9,3635760,5.24081E-07,-2.63759E-06,0.639861003
Donte DiVincenzo,72,SG,5,25,TOT,42,1,24,2.8,8,0.351,1.8,5.2,0.339,1,2.8,0.373,0.461,1.7,2,0.843,1,3.1,4,2.8,1.1,0.2,1.7,1.6,9,2905800,5.24081E-07,-2.63759E-06,0.639861003
Dorian Finney-Smith,73,PF,7,28,DAL,80,80,33.1,4.1,8.7,0.471,2.2,5.4,0.395,1.9,3.2,0.599,0.595,0.7,1,0.675,1.5,3.2,4.7,1.9,1.1,0.5,1,2.3,11,4000000,5.24081E-07,-2.63759E-06,0.639861003
Doug McDermott,74,PF,9,30,SAS,51,51,24,4.2,9.1,0.462,2.1,5,0.422,2.1,4.1,0.512,0.578,0.8,1,0.784,0.4,1.9,2.3,1.3,0.3,0.1,0.8,1.5,11.3,7333333,5.24081E-07,-2.63759E-06,0.639861003
Draymond Green,86,PF,11,31,GSW,46,44,28.9,2.9,5.6,0.525,0.3,1.2,0.296,2.6,4.4,0.586,0.556,1.3,2,0.659,1,6.3,7.3,7,1.3,1.1,3,3,7.5,18539130,0.077255716,-0.460431273,0.688007245
Duncan Robinson,67,SG,5,27,MIA,79,68,25.9,3.7,9.2,0.399,2.9,7.9,0.372,0.7,1.3,0.569,0.559,0.6,0.8,0.836,0.3,2.3,2.6,1.6,0.5,0.2,0.8,2.5,10.9,1416852,5.24081E-07,-2.63759E-06,0.639861003
Dwight Powell,77,C,9,30,DAL,82,71,21.9,3.3,4.9,0.671,0.2,0.5,0.351,3.1,4.4,0.703,0.687,2,2.6,0.783,2.1,2.8,4.9,1.2,0.5,0.5,0.8,2.7,8.7,10259375,-0.457014885,-2.63759E-06,0
Ed Davis,77,C,13,32,CLE,31,3,6.5,0.4,0.5,0.688,0,0,0,0.4,0.5,0.688,0.688,0.2,0.5,0.429,0.5,1.6,2.1,0.2,0.1,0.3,0.2,1.1,0.9,4767000,5.24081E-07,-2.63759E-06,0.639861003
Elfrid Payton,76,PG,9,27,PHO,50,1,11,1.3,3.5,0.383,0.1,0.4,0.222,1.3,3.1,0.401,0.394,0.2,0.6,0.375,0.4,1.3,1.8,2,0.5,0.1,0.9,0.8,3,8000000,-0.46375647,-0.817478068,0.020848704
Emmanuel Mudiay,76,PG,8,25,SAC,2,0,5.5,0,1,0,0,0,0,0,1,0,0,1.5,2,0.75,0,0,0,2,0.5,0,0.5,0.5,1.5,1737145,-0.419936168,-2.63759E-06,0.075713716
Eric Bledsoe,85,PG,13,32,LAC,54,29,25.2,3.6,8.7,0.421,0.9,3,0.313,2.7,5.6,0.479,0.475,1.6,2.2,0.761,0.5,2.9,3.4,4.2,1.3,0.4,2.1,1.6,9.9,15625000,-0.38791364,-0.755689482,0.009875702
Eric Gordon,78,SG,15,33,HOU,57,46,29.3,4.7,9.9,0.475,2.2,5.3,0.412,2.5,4.6,0.548,0.585,1.8,2.4,0.778,0.3,1.7,2,2.7,0.5,0.3,1.9,1.1,13.4,14057730,-0.403082206,-2.63759E-06,0.060351513
Eric Paschall,71,PF,4,25,UTA,58,3,12.7,2,4.1,0.485,0.7,1.9,0.37,1.3,2.2,0.583,0.57,1.1,1.5,0.767,0.5,1.3,1.8,0.6,0.2,0.1,0.5,0.9,5.8,898310,5.24081E-07,-2.63759E-06,0.639861003
Evan Fournier,78,SG,11,29,NYK,80,80,29.5,5,12.1,0.417,3,7.7,0.389,2,4.3,0.465,0.541,1,1.4,0.708,0.4,2.2,2.6,2.1,1,0.3,1.3,2.3,14.1,17150000,-0.457014885,-2.63759E-06,0.023043305
Frank Jackson,71,PG,6,23,DET,53,7,22,3.7,9.1,0.402,1.6,5.3,0.308,2,3.8,0.529,0.491,1.6,2,0.827,0.4,1.3,1.6,1,0.5,0.2,0.7,1.7,10.6,1618520,5.24081E-07,-2.63759E-06,0.639861003
